出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","109","1","1409","新纖","100940745.00","55025313.00","155966058.00","107751538.00","10891425.00","118642963.00","16184093.00","1955979.00","8643619.00","1004739.00","-29834.00","27758596.00","--","9564499.00","37323095.00","--","0.00","4680487.00","17.20"
"114/10/29","109","1","1718","中纖","538888456.00","176503277.00","715391733.00","634616416.00","20526462.00","655142878.00","16213672.00","1705182.00","4544145.00","-160795.00","-1228555.00","21073649.00","0.00","39175206.00","60248855.00","--","0.00","331109968.00","16.33"
"114/10/29","109","1","2207","和泰車","176848632.00","82432011.00","259280643.00","161262574.00","19837958.00","181100532.00","5461792.00","2818004.00","52561630.00","-284816.00","--","60556610.00","--","17623501.00","78180111.00","0.00","0.00","0.00","110.87"
"114/10/29","109","1","2905","三商","193707587.00","1099279438.00","1292987025.00","20676331.00","1234242256.00","1254918587.00","8266827.00","1917382.00","13079281.00","-6549475.00","-532672.00","16181343.00","0.00","21887095.00","38068438.00","0.00","0.00","47752000.00","20.77"
