出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘（或累積虧損）,其他權益,庫藏股票,歸屬於母公司業主權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","109","4","2855","統一證","105321883.00","8389882.00","113711765.00","84087688.00","144595.00","84232283.00","13998378.00","--","91261.00","14483188.00","834488.00","0.00","29407315.00","--","--","72167.00","29479482.00","0.00","0.00","0.00","21.01"
"114/10/29","109","4","6005","群益證","146258737.00","16803897.00","163062634.00","121864300.00","2523604.00","124387904.00","21709081.00","--","2743430.00","9639333.00","1794225.00","0.00","35886069.00","--","--","2788661.00","38674730.00","--","0.00","0.00","16.53"
"114/10/29","109","4","6024","群益期","45824153.00","589242.00","46413395.00","39973101.00","53335.00","40026436.00","2104376.00","--","1873996.00","2468329.00","-87037.00","--","6359664.00","--","--","27295.00","6386959.00","--","0.00","0.00","30.22"
