出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/05","115","2","2480","敦陽科","8234016.00","1238324.00","9472340.00","6130251.00","66428.00","6196679.00","1063603.00","--","166514.00","1981428.00","64116.00","0.00","3275661.00","--","--","0.00","3275661.00","0.00","0.00","0.00","30.80"
"115/08/05","115","2","2488","漢平","3325796.00","887016.00","4212812.00","1190328.00","245102.00","1435430.00","799994.00","--","34170.00","1957287.00","-14069.00","--","2777382.00","--","--","--","2777382.00","0.00","0.00","0.00","34.72"
"115/08/05","115","2","2498","宏達電","19203212.00","19666087.00","38869299.00","8721210.00","3934556.00","12655766.00","8360971.00","--","16342365.00","4254086.00","-2743889.00","--","26213533.00","--","--","--","26213533.00","--","0.00","0.00","31.35"
"115/08/05","115","2","2528","皇普","21004657.00","666851.00","21671508.00","11046925.00","3096013.00","14142938.00","5011004.00","--","1663874.00","898033.00","-44341.00","--","--","--","--","--","7528570.00","0.00","0.00","0.00","17.27"
"115/08/05","115","2","2912","統一超","98812536.00","205210373.00","304022909.00","128507034.00","124160553.00","252667587.00","10396223.00","--","91109.00","28200975.00","2288373.00","--","40976680.00","--","--","10378642.00","51355322.00","--","0.00","0.00","39.41"
"115/08/05","115","2","3004","豐達科","4470310.00","4573019.00","9043329.00","2793147.00","2475031.00","5268178.00","643832.00","--","1276387.00","1804097.00","50835.00","0.00","3775151.00","0.00","--","0.00","3775151.00","0.00","0.00","0.00","58.64"
"115/08/05","115","2","3006","晶豪科","27513845.00","2562520.00","30076365.00","10299677.00","779796.00","11079473.00","2981278.00","--","1412214.00","14761343.00","-737.00","-159045.00","18995053.00","--","--","1839.00","18996892.00","--","0.00","13650000.00","66.77"
"115/08/05","115","2","3016","嘉晶","4565356.00","2995353.00","7560709.00","1544240.00","806938.00","2351178.00","2903569.00","--","1758636.00","550283.00","-2957.00","--","5209531.00","--","--","--","5209531.00","--","0.00","0.00","17.94"
"115/08/05","115","2","3023","信邦","28631741.00","6449863.00","35081604.00","17617176.00","930151.00","18547327.00","2400690.00","--","3348881.00","10186005.00","317748.00","--","16253324.00","--","--","280953.00","16534277.00","--","0.00","0.00","67.70"
"115/08/05","115","2","3034","聯詠","89516146.00","29572123.00","119088269.00","40237822.00","9889387.00","50127209.00","6085115.00","--","2375054.00","53731003.00","6769888.00","0.00","68961060.00","--","--","0.00","68961060.00","0.00","0.00","0.00","113.33"
"115/08/05","115","2","3035","智原","13611818.00","11503615.00","25115433.00","6437365.00","751342.00","7188707.00","2605503.00","--","4423182.00","4991108.00","5094092.00","--","17113885.00","--","--","812841.00","17926726.00","0.00","0.00","0.00","65.68"
"115/08/05","115","2","3037","欣興","154786187.00","158456463.00","313242650.00","87774346.00","97747816.00","185522162.00","15913226.00","--","24410528.00","81387226.00","2282631.00","-107330.00","123886281.00","--","--","3834207.00","127720488.00","0.00","0.00","901935.00","77.90"
"115/08/05","115","2","3054","立萬利","830851.00","906433.00","1737284.00","192846.00","6397.00","199243.00","806510.00","--","0.00","320373.00","411158.00","--","1538041.00","--","--","--","1538041.00","0.00","0.00","0.00","19.07"
"115/08/05","115","2","3168","眾福科","2826989.00","1128756.00","3955745.00","1466035.00","60670.00","1526705.00","750996.00","--","462069.00","447314.00","18366.00","0.00","1678745.00","--","--","750295.00","2429040.00","--","0.00","0.00","22.35"
"115/08/05","115","2","3311","閎暉","1544315.00","3662905.00","5207220.00","1480702.00","70927.00","1551629.00","1000000.00","--","1193133.00","1727896.00","-265438.00","--","3655591.00","--","--","--","3655591.00","--","0.00","0.00","36.56"
"115/08/05","115","2","3321","同泰","1619563.00","434676.00","2054239.00","1196230.00","186642.00","1382872.00","861138.00","--","395.00","-148797.00","-41369.00","--","671367.00","--","--","--","671367.00","0.00","0.00","0.00","7.80"
"115/08/05","115","2","3380","明泰","18971928.00","6805473.00","25777401.00","12250074.00","640120.00","12890194.00","5417185.00","--","2085759.00","1675230.00","-2587.00","--","9175587.00","--","--","3711620.00","12887207.00","--","0.00","0.00","16.94"
"115/08/05","115","2","3416","融程電","3244528.00","2295270.00","5539798.00","1903689.00","66271.00","1969960.00","845177.00","--","1012634.00","1614757.00","100330.00","--","3572898.00","--","--","-3060.00","3569838.00","--","0.00","0.00","44.39"
"115/08/05","115","2","3443","創意","33873425.00","3511979.00","37385404.00","23386208.00","533848.00","23920056.00","1340119.00","--","32941.00","12076903.00","15385.00","--","13465348.00","--","--","--","13465348.00","--","0.00","0.00","100.48"
"115/08/05","115","2","3504","揚明光","2417491.00","2037793.00","4455284.00","1202561.00","406936.00","1609497.00","1140598.00","--","1648205.00","136179.00","-79195.00","--","2845787.00","--","--","0.00","2845787.00","--","0.00","0.00","24.95"
