出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,保險合約資產及再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,保險合約負債及再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/21","115","1","2880","華南金","45717871.00","299527494.00","220643635.00","422502291.00","805643086.00","--","1349143.00","108438840.00","261809.00","--","--","2458670232.00","4441375.00","266431.00","--","18676074.00","13701597.00","33791232.00","2229048.00","1044761.00","3798307.00","5287928.00","4445991154.00","321442472.00","--","6436659.00","--","100020300.00","58741575.00","69282989.00","3616882.00","--","3432745816.00","69692150.00","3195000.00","--","6968645.00","91299820.00","13784710.00","2255586.00","6204944.00","16795699.00","4202483247.00","139169651.00","17766839.00","88094728.00","-1525926.00","--","--","243505292.00","2615.00","243507907.00","--","0.00","0.00","17.50"
"115/08/21","115","1","2881","富邦金","358727505.00","555381507.00","858563121.00","2452553610.00","3470389717.00","9415579.00","154159254.00","418741642.00","3211369.00","4155164.00","--","3592216619.00","65005460.00","63301001.00","--","549813035.00","314771315.00","77773676.00","14278697.00","34428451.00","61195328.00","62022676.00","13120104726.00","250104949.00","200969.00","301866610.00","25811647.00","90023954.00","111611887.00","216604193.00","25787403.00","189635.00","5087657997.00","490055477.00","21427549.00","--","9600899.00","253213240.00","4764442230.00","21800852.00","50070129.00","364930082.00","12085399702.00","156073549.00","154734824.00","833786243.00","-125473167.00","--","--","1019121449.00","15583575.00","1034705024.00","--","0.00","0.00","65.30"
"115/08/21","115","1","2882","國泰金","293505959.00","478374050.00","956674073.00","3733309977.00","3392666299.00","277344.00","46189238.00","351852572.00","1943385.00","--","--","3275550809.00","52936397.00","81855859.00","--","895599605.00","508311596.00","110236881.00","5666794.00","31097213.00","127886471.00","106099962.00","14450034484.00","204853788.00","--","714636605.00","2252671.00","47843929.00","104741415.00","149065432.00","27174672.00","--","4463453341.00","289577614.00","48341814.00","--","5523098.00","77271378.00","7135948491.00","20262284.00","44855356.00","297205765.00","13633007653.00","162025102.00","203132822.00","773098271.00","-327473468.00","0.00","0.00","810782727.00","6244104.00","817026831.00","--","0.00","0.00","50.04"
"115/08/21","115","1","2883","凱基金","75116245.00","69812557.00","360651618.00","990108772.00","1309103392.00","256200.00","82117988.00","260454934.00","915166.00","--","--","525216899.00","302164.00","29951277.00","--","246706040.00","58120954.00","30474194.00","12723263.00","6152724.00","33080678.00","143767803.00","4235032868.00","1139956.00","--","149189997.00","927045.00","190130323.00","124827808.00","171387084.00","10577790.00","--","662015942.00","123839799.00","37932794.00","--","985957.00","158126467.00","1999530291.00","5400893.00","37967216.00","190041957.00","3864021319.00","185569894.00","33767008.00","232088347.00","-80549370.00","--","--","370875879.00","135670.00","371011549.00","0.00","0.00","0.00","19.99"
"115/08/21","115","1","2884","玉山金","45485669.00","317191708.00","321204775.00","439493828.00","534882011.00","223512.00","41200424.00","178788061.00","567693.00","--","--","2704225529.00","--","--","--","12160965.00","1313657.00","34131566.00","7958543.00","7853265.00","3320988.00","29433813.00","4679436007.00","97784339.00","--","90860434.00","3571916.00","63492421.00","35558904.00","58080393.00","5080965.00","--","3833941080.00","46620000.00","334945.00","--","1323934.00","143737204.00","--","5371234.00","2875453.00","5655963.00","4394289185.00","161920000.00","35847197.00","77082271.00","9886696.00","--","--","284736164.00","410658.00","285146822.00","--","0.00","0.00","17.60"
"115/08/21","115","1","2885","元大金","77947312.00","153029112.00","780950268.00","494180342.00","475923989.00","--","70702343.00","583961745.00","2623057.00","0.00","--","1526232035.00","63642.00","3086423.00","11156213.00","239758283.00","20578258.00","30659710.00","10486477.00","30390164.00","6736376.00","122413933.00","4640879682.00","30069705.00","--","287195881.00","--","270899536.00","187761244.00","343478511.00","7529068.00","--","1976758043.00","130723765.00","107279553.00","--","5275920.00","225616826.00","392783492.00","6899894.00","8275879.00","273795383.00","4254342700.00","133311499.00","38274157.00","176847858.00","10448479.00","--","--","358881993.00","27654989.00","386536982.00","0.00","0.00","0.00","26.92"
"115/08/21","115","1","2886","兆豐金","108936088.00","665805572.00","277403869.00","737354583.00","478007931.00","--","3432573.00","157698776.00","1569202.00","--","--","2498622414.00","13006034.00","5125792.00","--","9934770.00","1685002.00","23281958.00","2193529.00","1629956.00","6958363.00","10633265.00","5003279677.00","703100689.00","2160875.00","28876052.00","--","327806813.00","57433916.00","116212359.00","8987771.00","--","3222658789.00","50200000.00","5810000.00","--","17477663.00","26248861.00","10796108.00","2259790.00","2233849.00","19062748.00","4601326283.00","148333783.00","76849829.00","159802627.00","16967155.00","--","--","401953394.00","--","401953394.00","0.00","0.00","0.00","27.10"
"115/08/21","115","1","2887","台新新光金","97795796.00","284687302.00","378417961.00","2001192490.00","1675173057.00","--","31410425.00","346500709.00","1516552.00","4885637.00","--","2905523432.00","1258366.00","3021795.00","--","172953173.00","231343674.00","84632915.00","6934494.00","674445540.00","50658500.00","112357137.00","9064708955.00","98938101.00","--","155290566.00","--","160544946.00","108454001.00","134561854.00","7359100.00","--","3746971084.00","146527470.00","8545014.00","28576911.00","2443271.00","182633819.00","3355596287.00","9439651.00","48896172.00","270733161.00","8465511408.00","262610672.00","133732478.00","164786850.00","37675640.00","-89298.00","--","598716342.00","481205.00","599197547.00","--","0.00","1927518.00","22.80"
"115/08/21","115","1","2889","國票金","15724281.00","95.00","181021585.00","157336196.00","699406.00","--","3920154.00","64927222.00","10333.00","--","--","--","--","5486163.00","--","22382950.00","392857.00","6916616.00","162400.00","267455.00","544897.00","9785548.00","469578158.00","--","24417133.00","4431730.00","--","274304207.00","54376261.00","27757569.00","608214.00","--","--","--","--","--","1823196.00","17925259.00","--","158720.00","68081.00","8941839.00","414812209.00","36335635.00","406012.00","6648494.00","3163059.00","--","--","46553200.00","8212749.00","54765949.00","0.00","0.00","0.00","12.81"
"115/08/21","115","1","2890","永豐金","41779009.00","283061223.00","193958050.00","467434228.00","358647350.00","--","61262740.00","218183183.00","451833.00","0.00","--","2033972191.00","--","1123916.00","--","76437259.00","2319859.00","18813452.00","4482466.00","12729056.00","3465573.00","42227848.00","3820349236.00","123114733.00","--","72036717.00","--","81767835.00","138735948.00","104486298.00","4555151.00","0.00","2779616655.00","62784100.00","14992781.00","18437.00","2935440.00","138491074.00","--","4065777.00","2438847.00","22191371.00","3552231164.00","144923223.00","26827097.00","101559222.00","-7884931.00","--","--","265424611.00","2693461.00","268118072.00","--","0.00","0.00","18.31"
