出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/04/29","115","1","1340","勝悅-KY","785498.00","2281457.00","3066955.00","161902.00","257504.00","419406.00","1529229.00","--","2540814.00","-978764.00","-443730.00","--","2647549.00","0.00","--","0.00","2647549.00","--","0.00","0.00","17.31"
"115/04/29","115","1","1723","中碳","3402849.00","8115430.00","11518279.00","1696462.00","1771875.00","3468337.00","2369044.00","--","988571.00","5071194.00","-261229.00","-117638.00","8049942.00","--","--","--","8049942.00","--","0.00","4753537.00","34.68"
"115/04/29","115","1","1773","勝一","4356505.00","13454851.00","17811356.00","3267436.00","2531404.00","5798840.00","3000000.00","--","103724.00","8727343.00","28527.00","0.00","11859594.00","--","--","152922.00","12012516.00","--","0.00","0.00","39.53"
"115/04/29","115","1","2006","東和鋼鐵","28387625.00","23567831.00","51955456.00","18568929.00","836558.00","19405487.00","7302138.00","--","7745045.00","17774995.00","-394968.00","--","32427210.00","--","--","122759.00","32549969.00","--","0.00","0.00","44.41"
"115/04/29","115","1","2535","達欣工","29176307.00","2230214.00","31406521.00","17358125.00","3806504.00","21164629.00","2707940.00","--","2468152.00","4865800.00","-26356.00","-124076.00","9891460.00","--","--","350432.00","10241892.00","--","0.00","10902228.00","38.06"
"115/04/29","115","1","2617","台航","3272834.00","23289378.00","26562212.00","1957091.00","6312086.00","8269177.00","4172945.00","--","334382.00","11368623.00","2417085.00","--","18293035.00","--","--","--","18293035.00","--","0.00","0.00","43.84"
"115/04/29","115","1","3023","信邦","26277086.00","6368527.00","32645613.00","13869565.00","992330.00","14861895.00","2400690.00","--","3564943.00","11467199.00","78423.00","--","17511255.00","--","--","272463.00","17783718.00","--","0.00","0.00","72.94"
"115/04/29","115","1","3037","欣興","114144042.00","152737029.00","266881071.00","86190209.00","63738189.00","149928398.00","15892465.00","--","24088545.00","71423350.00","2086978.00","-107330.00","113384008.00","--","--","3568665.00","116952673.00","0.00","0.00","901935.00","71.39"
"115/04/29","115","1","3054","立萬利","735976.00","753586.00","1489562.00","142266.00","6221.00","148487.00","806510.00","--","0.00","264677.00","269888.00","--","1341075.00","--","--","--","1341075.00","0.00","0.00","0.00","16.63"
"115/04/29","115","1","3321","同泰","1531176.00","486103.00","2017279.00","1101699.00","243060.00","1344759.00","861138.00","--","99265.00","-239911.00","-47972.00","--","672520.00","--","--","--","672520.00","0.00","0.00","0.00","7.81"
"115/04/29","115","1","3504","揚明光","2230493.00","2020854.00","4251347.00","1016643.00","405840.00","1422483.00","1140598.00","--","1648205.00","131037.00","-90976.00","--","2828864.00","--","--","0.00","2828864.00","--","0.00","0.00","24.80"
"115/04/29","115","1","4583","台灣精銳","7530988.00","4052553.00","11583541.00","1278011.00","632826.00","1910837.00","801714.00","--","722914.00","8148076.00","0.00","--","9672704.00","--","--","--","9672704.00","--","0.00","0.00","120.65"
"115/04/29","115","1","6176","瑞儀","54051268.00","18128191.00","72179459.00","32576172.00","3484540.00","36060712.00","4650273.00","--","4726084.00","29178570.00","-1729779.00","-706401.00","36118747.00","--","--","--","36118747.00","0.00","0.00","4786000.00","78.48"
"115/04/29","115","1","6201","亞弘電","2848559.00","852939.00","3701498.00","981971.00","109135.00","1091106.00","892000.00","--","333273.00","1445790.00","-60671.00","--","2610392.00","--","--","0.00","2610392.00","0.00","0.00","0.00","29.26"
"115/04/29","115","1","6202","盛群","4419323.00","1060342.00","5479665.00","1032349.00","345270.00","1377619.00","2303882.00","--","250130.00","1486174.00","-6756.00","--","4033430.00","--","--","68616.00","4102046.00","0.00","0.00","0.00","17.51"
"115/04/29","115","1","6271","同欣電","11855565.00","22916060.00","34771625.00","4582832.00","3703829.00","8286661.00","2090581.00","--","14490467.00","9874533.00","-24149.00","0.00","26431432.00","0.00","--","53532.00","26484964.00","0.00","0.00","0.00","126.43"
"115/04/29","115","1","6278","台表科","37797116.00","15315218.00","53112334.00","26839243.00","4010809.00","30850052.00","2923984.00","--","2506016.00","16394084.00","744085.00","-327929.00","22240240.00","--","--","22042.00","22262282.00","0.00","0.00","3413000.00","76.96"
"115/04/29","115","1","6919","康霈*","5029205.00","4507425.00","9536630.00","111245.00","62547.00","173792.00","778634.00","--","9267793.00","-27712.00","-525356.00","-130521.00","9362838.00","--","--","--","9362838.00","0.00","0.00","901000.00","6.02"
"115/04/29","115","1","7799","禾榮科","10455995.00","1210617.00","11666612.00","34213.00","256120.00","290333.00","1579955.00","--","10936610.00","-539244.00","-601042.00","--","11376279.00","--","--","--","11376279.00","0.00","320000.00","0.00","72.00"
"115/04/29","115","1","8261","富鼎","5849399.00","1049007.00","6898406.00","771793.00","4803.00","776596.00","1188784.00","--","3015419.00","1986028.00","-69006.00","--","6121225.00","--","--","585.00","6121810.00","--","0.00","0.00","51.49"
"115/04/29","115","1","8271","宇瞻","13874285.00","1615792.00","15490077.00","8773781.00","269617.00","9043398.00","1281292.00","--","1098735.00","3997686.00","-63914.00","--","6313799.00","--","--","132880.00","6446679.00","0.00","0.00","0.00","49.28"
