出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/05/01","115","1","1340","勝悅-KY","785498.00","2281457.00","3066955.00","161902.00","257504.00","419406.00","1529229.00","--","2540814.00","-978764.00","-443730.00","--","2647549.00","0.00","--","0.00","2647549.00","--","0.00","0.00","17.31"
"115/05/01","115","1","1342","八貫","2452379.00","1347980.00","3800359.00","1285713.00","422405.00","1708118.00","780009.00","--","675754.00","643840.00","-7362.00","--","--","--","--","--","2092241.00","--","0.00","0.00","26.82"
"115/05/01","115","1","1723","中碳","3402849.00","8115430.00","11518279.00","1696462.00","1771875.00","3468337.00","2369044.00","--","988571.00","5071194.00","-261229.00","-117638.00","8049942.00","--","--","--","8049942.00","--","0.00","4753537.00","34.68"
"115/05/01","115","1","1773","勝一","4356505.00","13454851.00","17811356.00","3267436.00","2531404.00","5798840.00","3000000.00","--","103724.00","8727343.00","28527.00","0.00","11859594.00","--","--","152922.00","12012516.00","--","0.00","0.00","39.53"
"115/05/01","115","1","1783","和康生","1180100.00","810723.00","1990823.00","355506.00","8767.00","364273.00","896981.00","--","331581.00","587275.00","-189287.00","--","1626550.00","--","--","--","1626550.00","0.00","18000.00","0.00","18.13"
"115/05/01","115","1","2006","東和鋼鐵","28387625.00","23567831.00","51955456.00","18568929.00","836558.00","19405487.00","7302138.00","--","7745045.00","17774995.00","-394968.00","--","32427210.00","--","--","122759.00","32549969.00","--","0.00","0.00","44.41"
"115/05/01","115","1","2015","豐興","12172005.00","14111223.00","26283228.00","4388066.00","680696.00","5068762.00","5815994.00","--","457109.00","15146123.00","-217035.00","--","21202191.00","--","--","12275.00","21214466.00","--","0.00","0.00","36.45"
"115/05/01","115","1","2301","光寶科","165353065.00","45338156.00","210691221.00","116511425.00","5916382.00","122427807.00","23161078.00","--","21575010.00","46800183.00","-704261.00","-2726963.00","88105047.00","--","--","158367.00","88263414.00","--","0.00","47004221.00","38.83"
"115/05/01","115","1","2303","聯電","216440269.00","383491639.00","599931908.00","79611375.00","113584375.00","193195750.00","125785246.00","--","15812161.00","249065399.00","16037791.00","--","406700597.00","--","--","35561.00","406736158.00","--","0.00","0.00","32.33"
"115/05/01","115","1","2308","台達電","431011083.00","253162892.00","684173975.00","220629087.00","106285681.00","326914768.00","25975433.00","--","61046509.00","204081142.00","8439662.00","--","299542746.00","--","--","57716461.00","357259207.00","0.00","0.00","0.00","115.32"
"115/05/01","115","1","2329","華泰","11473582.00","11121334.00","22594916.00","8460526.00","2689356.00","11149882.00","6589763.00","--","578083.00","4181303.00","95885.00","--","11445034.00","--","--","--","11445034.00","0.00","0.00","0.00","17.37"
"115/05/01","115","1","2383","台光電","90741002.00","40235721.00","130976723.00","68350963.00","14704825.00","83055788.00","3583211.00","--","11521350.00","31126135.00","1711932.00","--","47942628.00","--","--","-21693.00","47920935.00","0.00","0.00","0.00","133.80"
"115/05/01","115","1","2395","研華","49300373.00","34468764.00","83769137.00","29811036.00","4233093.00","34044129.00","8682545.00","--","10744973.00","28546047.00","1639867.00","--","49613432.00","--","--","111576.00","49725008.00","--","2424242.00","0.00","57.14"
"115/05/01","115","1","2419","仲琦","8947701.00","2144045.00","11091746.00","4731856.00","382404.00","5114260.00","3213172.00","--","1153545.00","207049.00","222855.00","--","4796621.00","--","--","1180865.00","5977486.00","0.00","0.00","0.00","14.93"
"115/05/01","115","1","2439","美律","27895085.00","13346171.00","41241256.00","17154639.00","5532565.00","22687204.00","2536449.00","--","8460111.00","6553239.00","-549956.00","-139221.00","16860622.00","--","--","1693430.00","18554052.00","0.00","0.00","1645000.00","66.91"
"115/05/01","115","1","2441","超豐","12295231.00","17008325.00","29303556.00","3780793.00","285906.00","4066699.00","5688459.00","--","2775.00","17889018.00","1654787.00","--","25235039.00","--","--","1818.00","25236857.00","--","0.00","0.00","44.36"
"115/05/01","115","1","2450","神腦","7693177.00","3585328.00","11278505.00","4808973.00","353167.00","5162140.00","2582527.00","--","738199.00","2813295.00","-26284.00","--","6107737.00","--","--","8628.00","6116365.00","--","0.00","0.00","23.65"
"115/05/01","115","1","2455","全新","2782788.00","2611385.00","5394173.00","774487.00","952461.00","1726948.00","1849059.00","--","207200.00","1657166.00","-46200.00","--","--","--","--","--","3667225.00","0.00","0.00","0.00","19.83"
"115/05/01","115","1","2478","大毅","5916948.00","4500561.00","10417509.00","2142984.00","884341.00","3027325.00","1447313.00","--","1525472.00","4589822.00","-207605.00","-87880.00","7267122.00","--","--","123062.00","7390184.00","--","0.00","2000000.00","50.91"
"115/05/01","115","1","2480","敦陽科","7208003.00","1186798.00","8394801.00","5342627.00","65770.00","5408397.00","1063603.00","--","166514.00","1738319.00","17968.00","0.00","2986404.00","--","--","0.00","2986404.00","0.00","0.00","0.00","28.08"
"115/05/01","115","1","2535","達欣工","29176307.00","2230214.00","31406521.00","17358125.00","3806504.00","21164629.00","2707940.00","--","2468152.00","4865800.00","-26356.00","-124076.00","9891460.00","--","--","350432.00","10241892.00","--","0.00","10902228.00","38.06"
"115/05/01","115","1","2548","華固","50604639.00","2414881.00","53019520.00","24330552.00","8094209.00","32424761.00","3197187.00","--","821651.00","16532766.00","36438.00","-850.00","20587192.00","--","--","7567.00","20594759.00","0.00","0.00","201378.00","64.43"
"115/05/01","115","1","2617","台航","3272834.00","23289378.00","26562212.00","1957091.00","6312086.00","8269177.00","4172945.00","--","334382.00","11368623.00","2417085.00","--","18293035.00","--","--","--","18293035.00","--","0.00","0.00","43.84"
"115/05/01","115","1","2634","漢翔","37638357.00","13842249.00","51480606.00","26369324.00","6967556.00","33336880.00","9418671.00","--","18251.00","8646838.00","59966.00","--","18143726.00","--","--","--","18143726.00","--","0.00","0.00","19.26"
"115/05/01","115","1","2912","統一超","94109724.00","201395314.00","295505038.00","113749838.00","124472126.00","238221964.00","10396223.00","--","91109.00","34383162.00","1604811.00","--","46475305.00","--","--","10807769.00","57283074.00","--","0.00","0.00","44.70"
"115/05/01","115","1","3004","豐達科","4115707.00","4310454.00","8426161.00","2713494.00","2071082.00","4784576.00","643651.00","--","1274971.00","1669375.00","53588.00","0.00","3641585.00","0.00","--","0.00","3641585.00","0.00","0.00","0.00","56.58"
"115/05/01","115","1","3006","晶豪科","17585827.00","2487940.00","20073767.00","5859607.00","1309548.00","7169155.00","2977415.00","--","1354426.00","8853997.00","-3181.00","-163122.00","13019535.00","--","--","-114923.00","12904612.00","--","0.00","14000000.00","45.89"
"115/05/01","115","1","3008","大立光","159095122.00","67290411.00","226385533.00","39536493.00","226325.00","39762818.00","1334682.00","--","1564685.00","185139750.00","3000222.00","-6474268.00","184565071.00","--","--","2057644.00","186622715.00","0.00","0.00","2670000.00","1411.07"
"115/05/01","115","1","3015","全漢","10514930.00","7709478.00","18224408.00","5382690.00","601097.00","5983787.00","1872620.00","--","862101.00","5633688.00","3436153.00","--","11804562.00","--","--","436059.00","12240621.00","0.00","0.00","0.00","63.04"
"115/05/01","115","1","3023","信邦","26277086.00","6368527.00","32645613.00","13869565.00","992330.00","14861895.00","2400690.00","--","3564943.00","11467199.00","78423.00","--","17511255.00","--","--","272463.00","17783718.00","--","0.00","0.00","72.94"
"115/05/01","115","1","3037","欣興","114144042.00","152737029.00","266881071.00","86190209.00","63738189.00","149928398.00","15892465.00","--","24088545.00","71423350.00","2086978.00","-107330.00","113384008.00","--","--","3568665.00","116952673.00","0.00","0.00","901935.00","71.39"
"115/05/01","115","1","3054","立萬利","735976.00","753586.00","1489562.00","142266.00","6221.00","148487.00","806510.00","--","0.00","264677.00","269888.00","--","1341075.00","--","--","--","1341075.00","0.00","0.00","0.00","16.63"
"115/05/01","115","1","3311","閎暉","1652997.00","3515707.00","5168704.00","1378722.00","70668.00","1449390.00","1000000.00","--","1193133.00","1753319.00","-227138.00","--","3719314.00","--","--","--","3719314.00","--","0.00","0.00","37.19"
"115/05/01","115","1","3321","同泰","1531176.00","486103.00","2017279.00","1101699.00","243060.00","1344759.00","861138.00","--","99265.00","-239911.00","-47972.00","--","672520.00","--","--","--","672520.00","0.00","0.00","0.00","7.81"
"115/05/01","115","1","3380","明泰","17857159.00","6907425.00","24764584.00","11248041.00","713828.00","11961869.00","5417185.00","--","2084519.00","1564139.00","21851.00","--","9087694.00","--","--","3715021.00","12802715.00","0.00","0.00","0.00","16.78"
