出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/08/10","115","2","1259","安心","1743835.00","5435597.00","7179432.00","2086650.00","2279302.00","4365952.00","323895.00","--","809816.00","1064487.00","606599.00","--","2804797.00","--","--","8683.00","2813480.00","0.00","0.00","0.00","86.60"
"115/08/10","115","2","1268","漢來美食","2360830.00","5143168.00","7503998.00","2448996.00","2653768.00","5102764.00","422237.00","--","1123334.00","837322.00","18341.00","--","2401234.00","--","--","--","2401234.00","--","0.00","0.00","56.87"
"115/08/10","115","2","1565","精華","4110234.00","3617036.00","7727270.00","1183403.00","133369.00","1316772.00","504165.00","--","526000.00","5378133.00","2200.00","--","6410498.00","--","--","--","6410498.00","0.00","0.00","0.00","127.15"
"115/08/10","115","2","1570","力肯","878316.00","316555.00","1194871.00","148929.00","8833.00","157762.00","515008.00","--","--","427118.00","94983.00","--","1037109.00","--","--","--","1037109.00","0.00","0.00","0.00","20.14"
"115/08/10","115","2","1584","精剛","2992632.00","4686582.00","7679214.00","547276.00","2402110.00","2949386.00","2324705.00","--","2044435.00","520231.00","-54777.00","-177757.00","4656837.00","--","--","72991.00","4729828.00","0.00","0.00","7518000.00","20.70"
"115/08/10","115","2","1599","宏佳騰","1218226.00","1442000.00","2660226.00","536033.00","243035.00","779068.00","730287.00","--","403213.00","796955.00","-49780.00","-32370.00","1848305.00","--","--","32853.00","1881158.00","0.00","0.00","1000000.00","25.66"
"115/08/10","115","2","1777","生泰","1791495.00","1373257.00","3164752.00","522801.00","65004.00","587805.00","445917.00","--","983776.00","1147254.00","0.00","--","--","--","--","--","2576947.00","0.00","0.00","0.00","57.79"
"115/08/10","115","2","1780","立弘","1897889.00","659350.00","2557239.00","1001099.00","40286.00","1041385.00","1090752.00","--","204438.00","211017.00","9647.00","--","1515854.00","--","--","--","1515854.00","0.00","0.00","0.00","13.90"
"115/08/10","115","2","1796","金穎生技","586870.00","679347.00","1266217.00","188046.00","294261.00","482307.00","414598.00","--","294336.00","76396.00","-1420.00","--","783910.00","--","--","--","783910.00","0.00","0.00","0.00","18.91"
"115/08/10","115","2","2065","世豐","1426844.00","2116622.00","3543466.00","1100831.00","633528.00","1734359.00","635167.00","--","778544.00","586854.00","-191458.00","--","1809107.00","--","--","--","1809107.00","--","0.00","0.00","28.48"
"115/08/10","115","2","2643","捷迅","2697625.00","486443.00","3184068.00","1116301.00","111864.00","1228165.00","350000.00","--","421105.00","1115632.00","69166.00","--","1955903.00","--","--","--","1955903.00","--","0.00","0.00","55.88"
"115/08/10","115","2","2937","集雅社","2204649.00","846892.00","3051541.00","1922527.00","31345.00","1953872.00","478962.00","--","136138.00","482569.00","--","--","1097669.00","--","--","--","1097669.00","0.00","0.00","0.00","25.21"
"115/08/10","115","2","3088","艾訊","5801856.00","2668647.00","8470503.00","2417612.00","435983.00","2853595.00","1309676.00","--","1164155.00","3009503.00","67365.00","--","5550699.00","--","--","66209.00","5616908.00","--","2366838.00","0.00","50.00"
"115/08/10","115","2","3118","進階","450624.00","348453.00","799077.00","248660.00","10837.00","259497.00","324529.00","--","56048.00","159003.00","--","--","--","--","--","--","539580.00","0.00","0.00","0.00","16.63"
"115/08/10","115","2","3122","笙泉","221032.00","190041.00","411073.00","84590.00","2805.00","87395.00","407948.00","--","907.00","-85485.00","308.00","--","323678.00","--","--","--","323678.00","--","7092.00","0.00","7.94"
"115/08/10","115","2","3141","晶宏","1928386.00","2174031.00","4102417.00","1014429.00","251577.00","1266006.00","754607.00","--","418749.00","1568010.00","80275.00","-62495.00","2759146.00","--","--","77265.00","2836411.00","--","0.00","1074000.00","37.09"
"115/08/10","115","2","3152","璟德","2678191.00","1736224.00","4414415.00","754917.00","13732.00","768649.00","390162.00","--","573532.00","2682072.00","0.00","--","--","--","--","--","3645766.00","--","0.00","0.00","93.44"
"115/08/10","115","2","3163","波若威","3588763.00","799908.00","4388671.00","957658.00","144892.00","1102550.00","946353.00","--","601382.00","1766178.00","-27792.00","--","3286121.00","--","--","--","3286121.00","0.00","0.00","0.00","40.80"
"115/08/10","115","2","3169","亞信","2025306.00","161987.00","2187293.00","407951.00","10428.00","418379.00","633070.00","--","493438.00","653949.00","-11543.00","--","1768914.00","--","--","--","1768914.00","--","0.00","0.00","27.94"
"115/08/10","115","2","3206","志豐","2733657.00","482758.00","3216415.00","1369157.00","130563.00","1499720.00","589167.00","--","198383.00","716951.00","49624.00","0.00","1554125.00","--","--","162570.00","1716695.00","0.00","0.00","0.00","26.38"
"115/08/10","115","2","3211","順達","13068580.00","5795180.00","18863760.00","9117032.00","786805.00","9903837.00","1543870.00","--","2468687.00","5152695.00","-205329.00","--","8959923.00","--","--","0.00","8959923.00","--","0.00","0.00","58.04"
"115/08/10","115","2","3213","茂訊","4616376.00","1020361.00","5636737.00","1536307.00","156966.00","1693273.00","586855.00","--","74381.00","2917224.00","325620.00","--","3904080.00","--","--","39384.00","3943464.00","0.00","0.00","0.00","66.53"
"115/08/10","115","2","3219","倚強科","2599691.00","837481.00","3437172.00","1364221.00","210044.00","1574265.00","717809.00","--","230454.00","555897.00","15291.00","--","1519451.00","--","--","343456.00","1862907.00","--","0.00","0.00","21.17"
"115/08/10","115","2","3228","金麗科","320690.00","471936.00","792626.00","107730.00","4308.00","112038.00","719375.00","--","313519.00","-328135.00","-24171.00","--","--","--","--","--","680588.00","0.00","0.00","0.00","9.46"
"115/08/10","115","2","3260","威剛","81060106.00","29596716.00","110656822.00","44675912.00","24933050.00","69608962.00","3338099.00","--","10897694.00","27208975.00","-741435.00","-1339683.00","39363650.00","--","--","1684210.00","41047860.00","0.00","0.00","9914000.00","121.53"
"115/08/10","115","2","3264","欣銓","9024162.00","32309095.00","41333257.00","10245747.00","11460531.00","21706278.00","4901701.00","--","1244189.00","13284873.00","322988.00","-126772.00","19626979.00","--","--","--","19626979.00","0.00","0.00","16250750.00","41.41"
"115/08/10","115","2","3265","台星科","4426203.00","6344022.00","10770225.00","2170051.00","2283457.00","4453508.00","1362617.00","--","366243.00","4484154.00","103703.00","--","6316717.00","--","--","--","6316717.00","0.00","0.00","0.00","46.36"
"115/08/10","115","2","3297","杭特","282648.00","467661.00","750309.00","142055.00","2756.00","144811.00","360494.00","--","112612.00","132392.00","--","0.00","605498.00","--","--","0.00","605498.00","0.00","0.00","0.00","16.80"
"115/08/10","115","2","3306","鼎天","1004741.00","3488282.00","4493023.00","445820.00","2203.00","448023.00","506077.00","--","481430.00","241404.00","2816089.00","--","--","--","--","--","4045000.00","--","0.00","0.00","79.93"
"115/08/10","115","2","3317","尼克森","3584664.00","612507.00","4197171.00","732371.00","85297.00","817668.00","900000.00","--","676048.00","1720357.00","-1554.00","--","3294851.00","--","--","84652.00","3379503.00","0.00","0.00","0.00","36.61"
"115/08/10","115","2","3324","雙鴻","24477198.00","9424636.00","33901834.00","13308314.00","6740964.00","20049278.00","930768.00","--","3575541.00","8571189.00","186823.00","0.00","13264321.00","--","--","588235.00","13852556.00","0.00","0.00","0.00","142.51"
