出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"115/05/08","115","1","1216","統一","241807588.00","507254461.00","749062049.00","273723981.00","251627812.00","525351793.00","56820154.00","--","2613326.00","85921237.00","-661546.00","--","144693171.00","--","--","79017085.00","223710256.00","0.00","0.00","0.00","25.47"
"115/05/08","115","1","1232","大統益","7651568.00","2854550.00","10506118.00","2814803.00","1179993.00","3994796.00","1599749.00","--","23784.00","4655148.00","-3403.00","--","6275278.00","--","--","236044.00","6511322.00","0.00","0.00","0.00","39.23"
"115/05/08","115","1","1321","大洋","2103160.00","9461918.00","11565078.00","996940.00","4774340.00","5771280.00","2272283.00","--","24018.00","3393988.00","139698.00","-36189.00","5793798.00","--","--","--","5793798.00","0.00","0.00","6542716.00","26.25"
"115/05/08","115","1","1340","勝悅-KY","785498.00","2281457.00","3066955.00","161902.00","257504.00","419406.00","1529229.00","--","2540814.00","-978764.00","-443730.00","--","2647549.00","0.00","--","0.00","2647549.00","--","0.00","0.00","17.31"
"115/05/08","115","1","1342","八貫","2452379.00","1347980.00","3800359.00","1285713.00","422405.00","1708118.00","780009.00","--","675754.00","643840.00","-7362.00","--","--","--","--","--","2092241.00","--","0.00","0.00","26.82"
"115/05/08","115","1","1413","宏洲","825475.00","1785058.00","2610533.00","651436.00","843758.00","1495194.00","1321124.00","--","0.00","-197082.00","-8703.00","--","--","--","--","--","1115339.00","--","0.00","0.00","8.44"
"115/05/08","115","1","1436","華友聯","19437696.00","1819034.00","21256730.00","11381473.00","3974433.00","15355906.00","1941518.00","--","1133116.00","2367085.00","20550.00","--","5462269.00","--","--","438555.00","5900824.00","--","0.00","0.00","28.13"
"115/05/08","115","1","1452","宏益","2006413.00","809613.00","2816026.00","114850.00","48347.00","163197.00","1326414.00","--","156172.00","927975.00","242268.00","--","2652829.00","--","--","--","2652829.00","--","0.00","0.00","20.00"
"115/05/08","115","1","1459","聯發","2303265.00","2477874.00","4781139.00","1144782.00","93833.00","1238615.00","3586289.00","--","297733.00","344524.00","-158759.00","-528645.00","3541142.00","--","--","1382.00","3542524.00","--","0.00","41144531.00","11.15"
"115/05/08","115","1","1476","儒鴻","23249199.00","13615450.00","36864649.00","9214639.00","146348.00","9360987.00","2743671.00","--","3769803.00","20656051.00","334137.00","--","27503662.00","--","--","--","27503662.00","--","0.00","0.00","100.24"
"115/05/08","115","1","1477","聚陽","16529381.00","7913080.00","24442461.00","10203621.00","1159094.00","11362715.00","2466937.00","--","6166333.00","4202718.00","164036.00","--","13000024.00","--","--","79722.00","13079746.00","0.00","0.00","0.00","52.70"
"115/05/08","115","1","1515","力山","3269060.00","4296375.00","7565435.00","3141849.00","513245.00","3655094.00","1814735.00","--","586.00","2172831.00","-102568.00","--","3885584.00","--","--","24757.00","3910341.00","--","0.00","0.00","21.41"
"115/05/08","115","1","1527","鑽全","3703449.00","1716759.00","5420208.00","488625.00","45416.00","534041.00","1385706.00","--","26932.00","3445039.00","28490.00","--","--","--","--","--","4886167.00","--","0.00","0.00","35.26"
"115/05/08","115","1","1535","中宇","4550141.00","2560118.00","7110259.00","2899878.00","240907.00","3140785.00","1237426.00","--","630995.00","2187165.00","-86112.00","--","3969474.00","--","--","--","3969474.00","--","0.00","0.00","32.08"
"115/05/08","115","1","1539","巨庭","1037743.00","1139660.00","2177403.00","398507.00","176615.00","575122.00","653700.00","--","0.00","945501.00","3080.00","--","1602281.00","--","--","0.00","1602281.00","0.00","0.00","0.00","24.51"
"115/05/08","115","1","1563","巧新","10888013.00","9050626.00","19938639.00","5754269.00","5929671.00","11683940.00","2256081.00","--","2150485.00","4324332.00","-6069.00","-515173.00","8209656.00","--","--","45043.00","8254699.00","0.00","0.00","8520000.00","37.82"
"115/05/08","115","1","1582","信錦","9768761.00","3558194.00","13326955.00","4847990.00","572888.00","5420878.00","1442686.00","--","3376992.00","2945342.00","-240021.00","--","7524999.00","--","--","381078.00","7906077.00","--","0.00","0.00","52.16"
"115/05/08","115","1","1597","直得","1860395.00","2223160.00","4083555.00","806397.00","882273.00","1688670.00","892619.00","--","446121.00","1197659.00","6056.00","-147570.00","2394885.00","--","--","--","2394885.00","0.00","0.00","2000000.00","27.44"
"115/05/08","115","1","1608","華榮","9405391.00","7489544.00","16894935.00","5028451.00","936607.00","5965058.00","6327735.00","--","436138.00","3961807.00","-16724.00","-968671.00","9740285.00","--","--","1189592.00","10929877.00","--","0.00","208563824.00","22.96"
"115/05/08","115","1","1626","艾美特-KY","5580871.00","3133524.00","8714395.00","5654325.00","330994.00","5985319.00","1498217.00","--","1198630.00","189453.00","-157224.00","--","2729076.00","--","--","--","2729076.00","0.00","0.00","0.00","18.22"
"115/05/08","115","1","1713","國化","634157.00","3569638.00","4203795.00","84245.00","84079.00","168324.00","1509517.00","--","92930.00","2227830.00","205194.00","0.00","--","--","--","--","4035471.00","--","0.00","0.00","26.73"
"115/05/08","115","1","1714","和桐","17219321.00","8368902.00","25588223.00","4978429.00","2520949.00","7499378.00","9918248.00","--","121347.00","3756970.00","-957164.00","-78973.00","12760428.00","--","--","5328417.00","18088845.00","0.00","0.00","10141558.00","13.00"
"115/05/08","115","1","1723","中碳","3402849.00","8115430.00","11518279.00","1696462.00","1771875.00","3468337.00","2369044.00","--","988571.00","5071194.00","-261229.00","-117638.00","8049942.00","--","--","--","8049942.00","--","0.00","4753537.00","34.68"
"115/05/08","115","1","1730","花仙子","1675601.00","1166873.00","2842474.00","507896.00","35655.00","543551.00","632339.00","--","234657.00","1288368.00","-2560.00","--","2152804.00","--","--","146119.00","2298923.00","--","0.00","0.00","34.05"
"115/05/08","115","1","1773","勝一","4356505.00","13454851.00","17811356.00","3267436.00","2531404.00","5798840.00","3000000.00","--","103724.00","8727343.00","28527.00","0.00","11859594.00","--","--","152922.00","12012516.00","--","0.00","0.00","39.53"
"115/05/08","115","1","1783","和康生","1180100.00","810723.00","1990823.00","355506.00","8767.00","364273.00","896981.00","--","331581.00","587275.00","-189287.00","--","1626550.00","--","--","--","1626550.00","0.00","18000.00","0.00","18.13"
"115/05/08","115","1","1789","神隆","5725268.00","6134891.00","11860159.00","873540.00","673776.00","1547316.00","7907392.00","--","1294689.00","1326870.00","-216108.00","--","10312843.00","--","--","--","10312843.00","0.00","0.00","0.00","13.04"
"115/05/08","115","1","1906","寶隆","476045.00","5366453.00","5842498.00","2439937.00","323335.00","2763272.00","1510000.00","--","18303.00","2613575.00","-1062652.00","--","--","--","--","--","3079226.00","--","0.00","0.00","20.39"
"115/05/08","115","1","2006","東和鋼鐵","28387625.00","23567831.00","51955456.00","18568929.00","836558.00","19405487.00","7302138.00","--","7745045.00","17774995.00","-394968.00","--","32427210.00","--","--","122759.00","32549969.00","--","0.00","0.00","44.41"
"115/05/08","115","1","2009","第一銅","2492291.00","7790922.00","10283213.00","1725805.00","268480.00","1994285.00","3596222.00","--","0.00","652007.00","4040699.00","--","--","--","--","--","8288928.00","--","0.00","0.00","23.05"
"115/05/08","115","1","2010","春源","15350374.00","8742865.00","24093239.00","9394504.00","2236310.00","11630814.00","6476554.00","--","178331.00","5550897.00","-131458.00","--","12074324.00","--","--","388101.00","12462425.00","--","0.00","0.00","18.64"
"115/05/08","115","1","2012","春雨","7012659.00","4592604.00","11605263.00","2951091.00","4128046.00","7079137.00","3021627.00","--","566733.00","1051552.00","-554656.00","-267195.00","3818061.00","--","--","708065.00","4526126.00","0.00","0.00","23430173.00","13.70"
"115/05/08","115","1","2013","中鋼構","11211063.00","4548678.00","15759741.00","9196600.00","745341.00","9941941.00","2000000.00","--","1383331.00","2593600.00","-159131.00","--","5817800.00","--","--","--","5817800.00","--","0.00","0.00","29.09"
"115/05/08","115","1","2014","中鴻","7457212.00","18487828.00","25945040.00","5559159.00","8414481.00","13973640.00","14355444.00","--","903.00","-1087120.00","-1297827.00","--","11971400.00","--","--","--","11971400.00","--","0.00","0.00","8.34"
"115/05/08","115","1","2015","豐興","12172005.00","14111223.00","26283228.00","4388066.00","680696.00","5068762.00","5815994.00","--","457109.00","15146123.00","-217035.00","--","21202191.00","--","--","12275.00","21214466.00","--","0.00","0.00","36.45"
"115/05/08","115","1","2031","新光鋼","15811293.00","13002443.00","28813736.00","10640609.00","6898256.00","17538865.00","3211463.00","--","945730.00","6103859.00","288242.00","--","10549294.00","--","--","725577.00","11274871.00","--","0.00","0.00","32.85"
"115/05/08","115","1","2032","新鋼","1409931.00","930606.00","2340537.00","447134.00","139523.00","586657.00","1305215.00","--","107011.00","330843.00","10811.00","--","--","--","--","--","1753880.00","--","0.00","0.00","13.44"
"115/05/08","115","1","2059","川湖","34276607.00","5233462.00","39510069.00","6265438.00","1715988.00","7981426.00","952971.00","--","796691.00","29749459.00","29522.00","0.00","31528643.00","--","--","0.00","31528643.00","--","0.00","0.00","330.85"
"115/05/08","115","1","2062","橋椿","5437227.00","6176189.00","11613416.00","2757680.00","1272460.00","4030140.00","1999942.00","--","1911126.00","3680268.00","-9740.00","--","7581596.00","--","--","1680.00","7583276.00","--","0.00","0.00","37.91"
"115/05/08","115","1","2072","世紀風電","17192001.00","13489222.00","30681223.00","5754398.00","1564859.00","7319257.00","1920000.00","--","18838007.00","2601559.00","--","--","23359566.00","--","--","2400.00","23361966.00","--","0.00","0.00","121.66"
"115/05/08","115","1","2103","台橡","20606457.00","24239765.00","44846222.00","11013075.00","11685648.00","22698723.00","8257099.00","--","57766.00","9599804.00","2573493.00","--","20488162.00","--","--","1659337.00","22147499.00","--","0.00","0.00","24.81"
"115/05/08","115","1","2241","艾姆勒","952113.00","1423999.00","2376112.00","375178.00","481344.00","856522.00","1046023.00","--","1096467.00","-819083.00","11677.00","--","1335084.00","--","--","184506.00","1519590.00","0.00","0.00","0.00","12.76"
"115/05/08","115","1","2254","巨鎧精密-創","245505.00","1986282.00","2231787.00","730335.00","466704.00","1197039.00","639077.00","--","289733.00","-119992.00","235872.00","-9942.00","1034748.00","--","--","--","1034748.00","0.00","0.00","153000.00","16.23"
"115/05/08","115","1","2301","光寶科","165353065.00","45338156.00","210691221.00","116511425.00","5916382.00","122427807.00","23161078.00","--","21575010.00","46800183.00","-704261.00","-2726963.00","88105047.00","--","--","158367.00","88263414.00","--","0.00","47004221.00","38.83"
"115/05/08","115","1","2303","聯電","216440269.00","383491639.00","599931908.00","79611375.00","113584375.00","193195750.00","125785246.00","--","15812161.00","249065399.00","16037791.00","--","406700597.00","--","--","35561.00","406736158.00","--","0.00","0.00","32.33"
"115/05/08","115","1","2308","台達電","431011083.00","253162892.00","684173975.00","220629087.00","106285681.00","326914768.00","25975433.00","--","61046509.00","204081142.00","8439662.00","--","299542746.00","--","--","57716461.00","357259207.00","0.00","0.00","0.00","115.32"
"115/05/08","115","1","2329","華泰","11473582.00","11121334.00","22594916.00","8460526.00","2689356.00","11149882.00","6589763.00","--","578083.00","4181303.00","95885.00","--","11445034.00","--","--","--","11445034.00","0.00","0.00","0.00","17.37"
"115/05/08","115","1","2337","旺宏","32339811.00","49812970.00","82152781.00","13877364.00","17627247.00","31504611.00","19813088.00","--","2076516.00","21905474.00","7003488.00","-159061.00","50639505.00","--","--","8665.00","50648170.00","--","50226002.00","1956619.00","25.58"
"115/05/08","115","1","2340","台亞","5468504.00","9168344.00","14636848.00","4374534.00","3479011.00","7853545.00","4386228.00","--","1852778.00","298620.00","-185355.00","-23172.00","6329099.00","--","--","454204.00","6783303.00","--","0.00","754543.00","14.45"
"115/05/08","115","1","2344","華邦電","110641935.00","119171753.00","229813688.00","75046248.00","31873921.00","106920169.00","45000002.00","--","14592830.00","39894023.00","17164087.00","--","116650942.00","--","--","6242577.00","122893519.00","--","0.00","0.00","25.92"
"115/05/08","115","1","2347","聯強","208416617.00","40847284.00","249263901.00","157729943.00","9760092.00","167490035.00","16679470.00","--","13484154.00","53213761.00","-4780507.00","--","78596878.00","--","--","3176988.00","81773866.00","0.00","0.00","0.00","47.12"
