出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,保險合約資產,再保險合約資產,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,保險合約負債,再保險合約負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"115/09/05","115","2","2801","彰銀","36889443.00","228350416.00","121284614.00","327368381.00","538333926.00","--","--","31734300.00","151838.00","--","--","2203823661.00","--","--","207.00","--","--","21918841.00","2159994.00","14227217.00","916389.00","5356461.00","2794590.00","3535310278.00","381401736.00","--","2052178.00","--","31665659.00","47338215.00","1569253.00","--","2777473509.00","42775059.00","--","--","1924598.00","2486388.00","--","--","2036696.00","10826270.00","4060639.00","3305610200.00","120601974.00","--","24.00","86532994.00","22565086.00","0.00","229700078.00","--","--","--","229700078.00","--","0.00","0.00","19.52"
"115/09/05","115","2","2812","台中銀","16298159.00","48199614.00","44096381.00","105049005.00","89983223.00","--","14420103.00","26957857.00","409.00","--","--","649885160.00","214598.00","344326.00","6853.00","--","--","21367849.00","937278.00","537603.00","509701.00","654959.00","3435064.00","1022898142.00","11133710.00","12291797.00","2683581.00","--","15612234.00","13830654.00","704549.00","--","838334263.00","15150000.00","--","--","13301849.00","1390475.00","--","--","968960.00","109486.00","1333986.00","926845544.00","64250747.00","--","2467906.00","27388159.00","1945786.00","0.00","96052598.00","--","--","0.00","96052598.00","0.00","0.00","0.00","15.95"
"115/09/05","115","2","2820","華票","346988.00","--","160980938.00","98232851.00","2893548.00","--","7758521.00","1579317.00","105344.00","--","--","--","--","--","166111.00","--","--","155967.00","23339.00","--","--","170792.00","614645.00","273028361.00","34710998.00","--","36924.00","--","206346275.00","1954579.00","156682.00","--","--","--","--","--","--","1693820.00","--","--","23593.00","53774.00","178552.00","245155197.00","13429600.00","--","18554.00","13438653.00","986357.00","--","--","--","--","--","27873164.00","--","0.00","0.00","20.76"
"115/09/05","115","2","2834","臺企銀","31417678.00","154092764.00","109004098.00","226714245.00","252353714.00","--","26221594.00","15355264.00","22997.00","--","--","1730949721.00","--","--","5491.00","--","--","13597672.00","1016584.00","--","1440783.00","1759272.00","11997474.00","2575949351.00","246261427.00","1686110.00","9694851.00","--","4472859.00","22183001.00","854804.00","--","2071699808.00","53910000.00","--","--","2182378.00","2475923.00","--","--","1051823.00","996166.00","3939163.00","2421408313.00","103983261.00","--","816129.00","42235215.00","7506433.00","--","154541038.00","--","--","--","154541038.00","0.00","0.00","0.00","15.90"
"115/09/05","115","2","2836","高雄銀","2957201.00","15870797.00","4073190.00","32648801.00","56099389.00","--","9723543.00","1700822.00","--","--","--","223061149.00","--","--","247732.00","--","--","3710462.00","254436.00","--","139752.00","130733.00","627765.00","351245772.00","17607386.00","0.00","17148.00","--","13359984.00","4349941.00","118935.00","--","279850116.00","6827000.00","--","--","--","544752.00","--","--","253925.00","48752.00","298835.00","323276774.00","18983162.00","--","1344139.00","5210002.00","2431695.00","--","--","--","--","--","27968998.00","--","0.00","0.00","14.88"
"115/09/05","115","2","2838","聯邦銀","8234962.00","41429970.00","68740939.00","67589677.00","76368476.00","--","46954432.00","54028440.00","15746.00","--","--","654111314.00","402039.00","--","4502440.00","--","--","17145011.00","2326587.00","4383357.00","2135798.00","829449.00","6488669.00","1055687306.00","12407313.00","4010023.00","404736.00","--","68943940.00","14694943.00","562814.00","--","834920201.00","6000000.00","780141.00","375000.00","16487333.00","533654.00","--","--","2339965.00","2626814.00","1278425.00","966365302.00","48145019.00","--","8236992.00","21822635.00","9076585.00","--","87281231.00","--","--","2040773.00","89322004.00","--","0.00","0.00","19.22"
"115/09/05","115","2","2845","遠東銀","5069668.00","69783760.00","60777832.00","57646050.00","142079266.00","--","1037445.00","24444960.00","--","--","--","517272505.00","2931980.00","--","9994881.00","--","--","5184632.00","1679089.00","--","1538210.00","220119.00","599931.00","900260328.00","2085770.00","2957346.00","6746984.00","--","0.00","10011483.00","281598.00","--","737644380.00","25301720.00","--","--","40778266.00","591872.00","--","--","1700559.00","--","418162.00","828518140.00","49234249.00","--","830560.00","19055821.00","2621558.00","--","71742188.00","--","--","--","71742188.00","--","0.00","0.00","14.75"
"115/09/05","115","2","2849","安泰銀","2544354.00","18415086.00","27746317.00","50403790.00","35537760.00","--","50773.00","4493513.00","--","--","--","262550060.00","--","--","146722.00","--","--","769203.00","795527.00","--","312104.00","601008.00","1718550.00","406084767.00","5976269.00","--","1183736.00","--","0.00","3506076.00","43354.00","--","352522785.00","--","--","--","5530395.00","213650.00","--","--","791646.00","69989.00","128966.00","369966866.00","19576094.00","--","406714.00","16291770.00","-156677.00","0.00","--","--","--","--","36117901.00","0.00","0.00","0.00","18.45"
"115/09/05","115","2","2897","王道銀行","7929187.00","31123057.00","189961302.00","165051116.00","34258146.00","--","21194916.00","5582472.00","148351.00","--","--","268530665.00","6456919.00","--","1470306.00","--","--","2576655.00","324636.00","--","1778525.00","779188.00","1597374.00","738762815.00","61622474.00","--","770561.00","--","223265084.00","8227241.00","237342.00","--","342198371.00","14660000.00","--","--","17706790.00","2305226.00","--","--","343676.00","1024067.00","509182.00","672870014.00","30553579.00","--","581102.00","14178860.00","148168.00","-221695.00","45240014.00","--","--","20652787.00","65892801.00","--","22939000.00","0.00","14.92"
"115/09/05","115","2","5876","上海商銀","35379209.00","366383641.00","9062097.00","596522306.00","173990206.00","--","31823208.00","29384586.00","1098219.00","0.00","--","1219443667.00","1728655.00","--","15371.00","--","--","23571539.00","2362306.00","4832885.00","3924676.00","5947042.00","11128206.00","2516597819.00","64467150.00","--","5960871.00","--","10767121.00","54429541.00","1502653.00","--","1989308133.00","65434615.00","--","--","18745834.00","3075173.00","--","--","2349000.00","9498409.00","4730693.00","2230269193.00","49102191.00","--","27380949.00","119017411.00","18693213.00","-83144.00","214110620.00","--","--","72218006.00","286328626.00","0.00","11397439.00","0.00","44.14"
