出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","109","4","1101","台泥","31279276.00","-29947915.00","-3782013.00","311554.00","-2139098.00","53572620.00","51433522.00"
"114/10/29","109","4","1102","亞泥","19615182.00","-4506061.00","-14010351.00","77467.00","1176237.00","24735495.00","25911732.00"
"114/10/29","109","4","1103","嘉泥","530831.00","377364.00","445433.00","-44544.00","1309084.00","2066897.00","3375981.00"
"114/10/29","109","4","1104","環泥","1014179.00","-147405.00","-822751.00","--","44023.00","250642.00","294665.00"
"114/10/29","109","4","1108","幸福","832057.00","-619702.00","-125262.00","16.00","87109.00","233426.00","320535.00"
"114/10/29","109","4","1109","信大","2147630.00","166803.00","-928006.00","15513.00","1401940.00","874572.00","2276512.00"
"114/10/29","109","4","1110","東泥","110709.00","-81056.00","-60841.00","--","-31188.00","207931.00","176743.00"
"114/10/29","109","4","1201","味全","1873619.00","-628587.00","-1549962.00","-11397.00","-316327.00","2221758.00","1905431.00"
"114/10/29","109","4","1203","味王","1084474.00","-298389.00","-575000.00","-159694.00","51391.00","1517644.00","1569035.00"
"114/10/29","109","4","1210","大成","6468899.00","-3125405.00","-1729121.00","-68629.00","1545744.00","2942742.00","4488486.00"
"114/10/29","109","4","1213","大飲","-3781.00","-16301.00","14289.00","-10.00","-5803.00","34897.00","29094.00"
"114/10/29","109","4","1215","卜蜂","2391646.00","-2883395.00","-420096.00","-13225.00","-925070.00","1172749.00","247679.00"
"114/10/29","109","4","1216","統一","61720486.00","-15755308.00","-38380244.00","-312950.00","7271984.00","74706801.00","81978785.00"
"114/10/29","109","4","1217","愛之味","496789.00","-22929.00","-382911.00","-35487.00","55462.00","614057.00","669519.00"
"114/10/29","109","4","1218","泰山","409369.00","190413.00","-974231.00","-121.00","-374570.00","1147024.00","772454.00"
"114/10/29","109","4","1219","福壽","822934.00","157258.00","-1007851.00","1417.00","-26242.00","970228.00","943986.00"
"114/10/29","109","4","1220","台榮","463552.00","-120671.00","-237663.00","0.00","105218.00","360103.00","465321.00"
"114/10/29","109","4","1225","福懋油","522345.00","284871.00","-396220.00","-4803.00","406193.00","819700.00","1225893.00"
"114/10/29","109","4","1227","佳格","2430175.00","202065.00","-2058344.00","52219.00","626115.00","3705903.00","4332018.00"
"114/10/29","109","4","1229","聯華","2340881.00","-2255168.00","-13743.00","-24306.00","47664.00","1758023.00","1805687.00"
"114/10/29","109","4","1231","聯華食","1045367.00","-1674484.00","663119.00","2465.00","36467.00","295507.00","331974.00"
"114/10/29","109","4","1232","大統益","2057038.00","-260793.00","-900391.00","--","895854.00","1952494.00","2848348.00"
"114/10/29","109","4","1233","天仁","245879.00","-40574.00","-91927.00","107.00","113485.00","210211.00","323696.00"
"114/10/29","109","4","1234","黑松","1432800.00","-149961.00","-1252562.00","20180.00","50457.00","1222983.00","1273440.00"
"114/10/29","109","4","1235","興泰","134987.00","358182.00","-497723.00","--","-4554.00","44658.00","40104.00"
"114/10/29","109","4","1236","宏亞","226805.00","-264127.00","79675.00","-3437.00","38916.00","50505.00","89421.00"
"114/10/29","109","4","1256","鮮活果汁-KY","864088.00","-205429.00","-414595.00","7131.00","251195.00","305885.00","557080.00"
"114/10/29","109","4","1301","台塑","31444453.00","-3915855.00","-32567947.00","1018507.00","-4020842.00","18165952.00","14145110.00"
"114/10/29","109","4","1303","南亞","41633569.00","-32975767.00","4399682.00","-691986.00","12365498.00","43608119.00","55973617.00"
"114/10/29","109","4","1304","台聚","10815721.00","-7040508.00","-1879442.00","-186167.00","1709604.00","7927403.00","9637007.00"
"114/10/29","109","4","1305","華夏","2088323.00","-1194306.00","-765171.00","-5092.00","123754.00","653347.00","777101.00"
"114/10/29","109","4","1307","三芳","1737222.00","-370354.00","240819.00","-165267.00","1442420.00","3761456.00","5203876.00"
"114/10/29","109","4","1308","亞聚","2878346.00","-916265.00","-2289221.00","-5832.00","-332972.00","938616.00","605644.00"
"114/10/29","109","4","1309","台達化","3046274.00","-120224.00","-1818584.00","39022.00","1146488.00","1312018.00","2458506.00"
"114/10/29","109","4","1310","台苯","20385.00","-225990.00","-512086.00","3886.00","-713805.00","1506827.00","793022.00"
"114/10/29","109","4","1312","國喬","2834529.00","-1681107.00","703343.00","-24487.00","1832278.00","3403383.00","5235661.00"
"114/10/29","109","4","1313","聯成","3448194.00","-130599.00","-5259024.00","240322.00","-1701107.00","5324973.00","3623866.00"
"114/10/29","109","4","1314","中石化","-4140048.00","-5818094.00","8617775.00","-295987.00","-1636354.00","9116253.00","7479899.00"
"114/10/29","109","4","1315","達新","188802.00","5092170.00","-1940385.00","-3413.00","3337174.00","650253.00","3987427.00"
"114/10/29","109","4","1316","上曜","-60538.00","-218684.00","216532.00","-108.00","-62798.00","316308.00","253510.00"
"114/10/29","109","4","1319","東陽","4941112.00","-2512665.00","-2044676.00","-26031.00","357740.00","1179700.00","1537440.00"
"114/10/29","109","4","1321","大洋","435515.00","155592.00","-642982.00","4717.00","-47158.00","460375.00","413217.00"
"114/10/29","109","4","1323","永裕","661637.00","-586180.00","-59705.00","19519.00","35271.00","1370705.00","1405976.00"
"114/10/29","109","4","1324","地球","126564.00","-11236.00","-25341.00","1306.00","91293.00","199853.00","291146.00"
"114/10/29","109","4","1325","恆大","2424552.00","-2080248.00","-25556.00","6491.00","325239.00","176524.00","501763.00"
"114/10/29","109","4","1326","台化","46212769.00","-13556250.00","-30995155.00","366511.00","2027875.00","15099252.00","17127127.00"
"114/10/29","109","4","1337","再生-KY","-215473.00","-17980.00","181516.00","19676.00","-32261.00","1329823.00","1297562.00"
"114/10/29","109","4","1338","廣華-KY","472878.00","-948665.00","-176999.00","23903.00","-628883.00","2769790.00","2140907.00"
"114/10/29","109","4","1339","昭輝","658194.00","-534502.00","-233667.00","-5379.00","-115354.00","700630.00","585276.00"
"114/10/29","109","4","1340","勝悅-KY","-312789.00","-47557.00","-28193.00","-29552.00","-418091.00","3683876.00","3265785.00"
"114/10/29","109","4","1341","富林-KY","459791.00","-119214.00","-275144.00","-5376.00","60057.00","140927.00","200984.00"
"114/10/29","109","4","1342","八貫","326971.00","-184284.00","242637.00","--","385324.00","62269.00","447593.00"
"114/10/29","109","4","1402","遠東新","41489455.00","-66444023.00","20516897.00","711702.00","-3725969.00","38924588.00","35198619.00"
"114/10/29","109","4","1410","南染","93178.00","-49408.00","-65123.00","--","-21353.00","422747.00","401394.00"
"114/10/29","109","4","1413","宏洲","-39246.00","-70073.00","131078.00","--","21759.00","48094.00","69853.00"
"114/10/29","109","4","1414","東和","162474.00","-3281.00","-249564.00","--","-90371.00","206329.00","115958.00"
"114/10/29","109","4","1416","廣豐","101625.00","-29144.00","182757.00","-239.00","254999.00","81879.00","336878.00"
"114/10/29","109","4","1417","嘉裕","-25618.00","842913.00","-757064.00","20518.00","80749.00","398900.00","479649.00"
"114/10/29","109","4","1418","東華","-158725.00","-16113.00","25651.00","2.00","-149185.00","205371.00","56186.00"
"114/10/29","109","4","1419","新紡","147035.00","-8564.00","-79111.00","-27.00","59333.00","535465.00","594798.00"
"114/10/29","109","4","1423","利華","-11762.00","-1029.00","-15888.00","--","-28679.00","301330.00","272651.00"
"114/10/29","109","4","1432","大魯閣","373733.00","170833.00","-497875.00","4189.00","50880.00","213665.00","264545.00"
"114/10/29","109","4","1434","福懋","4218754.00","-2488305.00","-1910683.00","26932.00","-153302.00","3236624.00","3083322.00"
"114/10/29","109","4","1435","中福","-11315.00","-43904.00","-2155.00","11.00","-57363.00","86774.00","29411.00"
"114/10/29","109","4","1436","華友聯","-1668515.00","-75943.00","1812702.00","--","68244.00","317715.00","385959.00"
"114/10/29","109","4","1437","勤益控","292479.00","-510705.00","123206.00","-40383.00","-135403.00","1196022.00","1060619.00"
"114/10/29","109","4","1438","三地開發","-1445689.00","322371.00","1231012.00","0.00","107694.00","14413.00","122107.00"
"114/10/29","109","4","1439","雋揚","-279561.00","211514.00","-303179.00","0.00","-371226.00","1202408.00","831182.00"
"114/10/29","109","4","1440","南紡","2148096.00","-1954090.00","1526172.00","-268216.00","1451962.00","3985106.00","5437068.00"
"114/10/29","109","4","1441","大東","97364.00","-26673.00","-74879.00","9023.00","4835.00","76044.00","80879.00"
"114/10/29","109","4","1442","名軒","-303966.00","2337.00","325041.00","--","23412.00","85114.00","108526.00"
"114/10/29","109","4","1443","立益物流","204579.00","-506330.00","290272.00","10540.00","-939.00","94543.00","93604.00"
"114/10/29","109","4","1444","力麗","743469.00","-482164.00","-423001.00","-7261.00","-168957.00","1401355.00","1232398.00"
"114/10/29","109","4","1445","大宇","144889.00","-96.00","8754.00","--","153547.00","246701.00","400248.00"
"114/10/29","109","4","1446","宏和","122741.00","-184.00","-200473.00","113.00","-77803.00","347512.00","269709.00"
"114/10/29","109","4","1447","力鵬","695096.00","-1225694.00","-949761.00","7000.00","-1473359.00","2833122.00","1359763.00"
"114/10/29","109","4","1449","佳和","-385939.00","323608.00","142935.00","-13.00","80591.00","104417.00","185008.00"
"114/10/29","109","4","1451","年興","39367.00","684885.00","-295642.00","11084.00","439694.00","694697.00","1134391.00"
"114/10/29","109","4","1452","宏益","346849.00","62855.00","-160182.00","-2113.00","247409.00","317581.00","564990.00"
"114/10/29","109","4","1453","大將","-73933.00","-23122.00","42000.00","--","-55055.00","61200.00","6145.00"
"114/10/29","109","4","1454","台富","170959.00","-32116.00","-87210.00","--","51633.00","154852.00","206485.00"
"114/10/29","109","4","1455","集盛","985956.00","-311706.00","-684049.00","435.00","-9364.00","79762.00","70398.00"
"114/10/29","109","4","1456","怡華","-1370049.00","-126184.00","1501836.00","--","5603.00","97666.00","103269.00"
"114/10/29","109","4","1457","宜進","-324460.00","1109493.00","-819057.00","0.00","-34024.00","513740.00","479716.00"
"114/10/29","109","4","1459","聯發","57906.00","-99436.00","16068.00","-31386.00","-56848.00","458081.00","401233.00"
"114/10/29","109","4","1460","宏遠","-314814.00","-282185.00","1164953.00","-4908.00","563046.00","185145.00","748191.00"
"114/10/29","109","4","1463","強盛新","147087.00","-71509.00","-103795.00","--","-28217.00","420759.00","392542.00"
"114/10/29","109","4","1464","得力","603021.00","-985130.00","254136.00","8106.00","-119867.00","1343347.00","1223480.00"
"114/10/29","109","4","1465","偉全","-54439.00","-593696.00","-204874.00","-18824.00","-871833.00","906577.00","34744.00"
"114/10/29","109","4","1466","聚隆","604078.00","-232668.00","-67762.00","--","303648.00","45727.00","349375.00"
"114/10/29","109","4","1467","南緯","709204.00","-219987.00","94375.00","-58731.00","524861.00","843457.00","1368318.00"
"114/10/29","109","4","1468","昶和","213366.00","39775.00","48976.00","-7009.00","295108.00","427520.00","722628.00"
"114/10/29","109","4","1470","大統新創","76386.00","-23853.00","-77040.00","909.00","-23598.00","124735.00","101137.00"
"114/10/29","109","4","1471","首利","-65328.00","844260.00","-245631.00","-4352.00","528949.00","169679.00","698628.00"
"114/10/29","109","4","1472","三洋實業","-43251.00","-141348.00","252461.00","-185.00","67677.00","124570.00","192247.00"
"114/10/29","109","4","1473","台南","168959.00","504831.00","-303711.00","-26128.00","343951.00","524785.00","868736.00"
"114/10/29","109","4","1474","弘裕","147512.00","-65211.00","84042.00","8439.00","174782.00","559500.00","734282.00"
"114/10/29","109","4","1475","業旺","-11185.00","-154708.00","314000.00","0.00","148107.00","10325.00","158432.00"
"114/10/29","109","4","1476","儒鴻","3897983.00","-1579046.00","-2703099.00","-35807.00","-419969.00","4444271.00","4024302.00"
"114/10/29","109","4","1477","聚陽","752830.00","-1447230.00","1272710.00","-49807.00","528503.00","1838556.00","2367059.00"
"114/10/29","109","4","1503","士電","2097819.00","-552462.00","-991242.00","2996.00","557111.00","2472153.00","3029264.00"
"114/10/29","109","4","1504","東元","5486845.00","-722772.00","-2647542.00","-830642.00","1285889.00","19111371.00","20397260.00"
"114/10/29","109","4","1506","正道","-35614.00","-49248.00","107913.00","-1748.00","21303.00","89741.00","111044.00"
"114/10/29","109","4","1512","瑞利","145762.00","-22609.00","-117071.00","577.00","6659.00","194866.00","201525.00"
"114/10/29","109","4","1513","中興電","2585687.00","-5803403.00","3399131.00","-3961.00","177454.00","983260.00","1160714.00"
"114/10/29","109","4","1514","亞力","344296.00","-12067.00","-111292.00","1548.00","222485.00","394219.00","616704.00"
"114/10/29","109","4","1515","力山","1529211.00","-441929.00","-597963.00","-13940.00","475379.00","2137750.00","2613129.00"
"114/10/29","109","4","1516","川飛","-22718.00","8797.00","-2610.00","0.00","-16531.00","230324.00","213793.00"
"114/10/29","109","4","1517","利奇","11077.00","58133.00","-93952.00","11128.00","-13614.00","646343.00","632729.00"
"114/10/29","109","4","1519","華城","216077.00","-163530.00","5363.00","8703.00","66613.00","147896.00","214509.00"
"114/10/29","109","4","1521","大億","192408.00","-200290.00","25179.00","-47.00","17250.00","90914.00","108164.00"
"114/10/29","109","4","1522","堤維西","2857953.00","-1335055.00","-1320551.00","-150342.00","52005.00","937959.00","989964.00"
"114/10/29","109","4","1524","耿鼎","377386.00","-362140.00","-145690.00","--","-130444.00","576026.00","445582.00"
"114/10/29","109","4","1525","江申","-122962.00","593505.00","-134098.00","8915.00","345360.00","63143.00","408503.00"
"114/10/29","109","4","1526","日馳","444578.00","-42920.00","-185081.00","-2985.00","213592.00","226065.00","439657.00"
"114/10/29","109","4","1527","鑽全","368082.00","-200112.00","-166013.00","--","1957.00","542488.00","544445.00"
"114/10/29","109","4","1528","恩德","127929.00","-167130.00","190371.00","-12412.00","138758.00","661939.00","800697.00"
"114/10/29","109","4","1529","樂事綠能","272829.00","-167959.00","-69069.00","--","35801.00","124310.00","160111.00"
"114/10/29","109","4","1530","亞崴","403636.00","583915.00","-1304452.00","29043.00","-287858.00","1195666.00","907808.00"
"114/10/29","109","4","1531","高林股","226073.00","205009.00","-54701.00","12024.00","388405.00","840409.00","1228814.00"
"114/10/29","109","4","1532","勤美","2689653.00","-1531760.00","-678237.00","33602.00","513258.00","3700547.00","4213805.00"
"114/10/29","109","4","1533","車王電","413186.00","-748261.00","572224.00","-33604.00","203545.00","1209016.00","1412561.00"
"114/10/29","109","4","1535","中宇","1293462.00","-309668.00","-486595.00","-32860.00","464339.00","1136465.00","1600804.00"
"114/10/29","109","4","1536","和大","1095372.00","-1668680.00","842949.00","-829.00","268812.00","526855.00","795667.00"
"114/10/29","109","4","1537","廣隆","1274928.00","-193397.00","-953853.00","-48154.00","79524.00","1572813.00","1652337.00"
"114/10/29","109","4","1538","正峰","-68491.00","504774.00","-412930.00","9258.00","32611.00","53203.00","85814.00"
"114/10/29","109","4","1539","巨庭","35881.00","-1036111.00","814889.00","7446.00","-177895.00","522210.00","344315.00"
"114/10/29","109","4","1540","喬福","41131.00","246224.00","-60271.00","-18884.00","208200.00","69822.00","278022.00"
"114/10/29","109","4","1541","錩泰","185361.00","-27163.00","-107135.00","-13067.00","37996.00","172372.00","210368.00"
"114/10/29","109","4","1558","伸興","769249.00","-328311.00","-101669.00","-38803.00","300466.00","2427869.00","2728335.00"
"114/10/29","109","4","1560","中砂","970733.00","-1926036.00","975310.00","-13792.00","6215.00","707318.00","713533.00"
"114/10/29","109","4","1563","巧新","1056761.00","-1024443.00","-402495.00","-1489.00","-371666.00","1142717.00","771051.00"
"114/10/29","109","4","1568","倉佑","366747.00","-36520.00","-151234.00","-874.00","178119.00","191356.00","369475.00"
"114/10/29","109","4","1582","信錦","562766.00","-971471.00","-174892.00","115097.00","-468500.00","2889307.00","2420807.00"
"114/10/29","109","4","1583","程泰","785337.00","46648.00","-1596187.00","15971.00","-748231.00","2230281.00","1482050.00"
"114/10/29","109","4","1587","吉茂","307068.00","-28674.00","-133351.00","-13971.00","131072.00","276862.00","407934.00"
"114/10/29","109","4","1589","永冠-KY","597773.00","-898672.00","1521842.00","11226.00","1232169.00","1450683.00","2682852.00"
"114/10/29","109","4","1590","亞德客-KY","4444880.00","-1154114.00","-4076111.00","-90226.00","-875571.00","5236004.00","4360433.00"
"114/10/29","109","4","1597","直得","347646.00","-357634.00","-11822.00","-1727.00","-23537.00","678134.00","654597.00"
