出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/29","113","3","2801","彰銀","36834051.00","243708190.00","79914026.00","300212671.00","472944365.00","--","--","28225791.00","173463.00","--","--","1963575712.00","--","--","457625.00","21162532.00","1861189.00","13926451.00","929564.00","1777835.00","1426214.00","3167129679.00","184578811.00","--","4406705.00","--","1568755.00","52865983.00","1371950.00","--","2663849515.00","40810469.00","--","--","1075908.00","3079163.00","1729314.00","8427951.00","3547313.00","2967311837.00","112057583.00","--","24.00","74776842.00","12983393.00","0.00","199817842.00","--","--","--","199817842.00","--","0.00","0.00","17.83"
"114/10/29","113","3","2812","台中銀","10441407.00","48316683.00","33269507.00","92091428.00","104377616.00","--","14969701.00","25651016.00","2.00","--","--","580481410.00","190058.00","134858.00","101123.00","18752501.00","1039937.00","971057.00","258692.00","924871.00","3499854.00","935471721.00","7562532.00","14775866.00","2816467.00","--","9775560.00","9347625.00","427840.00","--","783476832.00","13500000.00","--","--","8470513.00","1384786.00","1068687.00","109486.00","1105659.00","853821853.00","55187566.00","--","1528256.00","22823328.00","2110718.00","0.00","81649868.00","--","--","0.00","81649868.00","0.00","0.00","0.00","14.79"
"114/10/29","113","3","2820","華票","342065.00","--","151558918.00","94955262.00","2189155.00","--","2692802.00","928994.00","428269.00","--","--","--","--","--","58148.00","145653.00","6784.00","--","--","95211.00","673551.00","254074812.00","48645981.00","--","35199.00","--","177138462.00","903028.00","--","--","--","--","--","--","--","1397405.00","6892.00","40143.00","513057.00","228680167.00","13429600.00","--","15224.00","12240046.00","-290225.00","--","--","--","--","--","25394645.00","--","0.00","0.00","18.91"
"114/10/29","113","3","2834","臺企銀","29053822.00","143846754.00","79186352.00","183367344.00","250253869.00","--","12743469.00","12837246.00","353520.00","--","--","1573464535.00","0.00","--","7412.00","13843899.00","1207674.00","--","1139291.00","1964504.00","17150939.00","2320420630.00","174458639.00","1438140.00","9836377.00","--","2648104.00","22374480.00","532176.00","--","1913264084.00","53460000.00","--","--","3370702.00","2630282.00","1234973.00","907905.00","3891606.00","2190047468.00","91679828.00","--","816129.00","36084218.00","1792987.00","--","130373162.00","--","--","--","130373162.00","0.00","0.00","0.00","14.22"
"114/10/29","113","3","2836","高雄銀","4612564.00","14512241.00","2790402.00","35470524.00","57614293.00","--","5758021.00","2476604.00","0.00","--","--","212781982.00","--","--","237555.00","3110007.00","358780.00","--","113388.00","106688.00","218732.00","340161781.00","9519145.00","0.00","35860.00","--","12207519.00","5593799.00","68729.00","--","281566485.00","5377000.00","--","--","--","373682.00","359795.00","13487.00","168035.00","315283536.00","18263271.00","--","1436134.00","4911346.00","267494.00","--","--","--","--","--","24878245.00","--","0.00","0.00","13.62"
"114/10/29","113","3","2838","聯邦銀","8540566.00","37525619.00","53250878.00","62184911.00","80557817.00","--","57328787.00","46073819.00","680857.00","--","--","598876077.00","376944.00","--","1560561.00","16023851.00","1862273.00","4682927.00","2177452.00","443139.00","8892845.00","981039323.00","12382702.00","1500776.00","872936.00","--","64131424.00","11329101.00","623291.00","--","785542848.00","5000000.00","940661.00","375000.00","12688367.00","484412.00","1858263.00","2082492.00","3811634.00","903623907.00","42500729.00","--","8168291.00","18703211.00","5822537.00","--","75194768.00","--","--","2220648.00","77415416.00","--","0.00","0.00","17.69"
"114/10/29","113","3","2845","遠東銀","4987375.00","54644754.00","46746179.00","62670501.00","147035899.00","--","1895889.00","18261777.00","--","--","--","489914006.00","2820167.00","--","7856393.00","5161015.00","998480.00","--","1553075.00","133846.00","343186.00","845022542.00","1318019.00","533333.00","7370848.00","--","1589439.00","7756302.00","155554.00","--","710720221.00","10901900.00","--","--","41927499.00","608785.00","1013030.00","--","600630.00","784495560.00","42753997.00","--","302926.00","17439252.00","30807.00","--","60526982.00","--","--","--","60526982.00","--","0.00","0.00","14.16"
"114/10/29","113","3","2849","安泰銀","2815133.00","14650209.00","23505054.00","42886026.00","36828073.00","--","845583.00","3962037.00","215183.00","--","--","226317572.00","--","--","0.00","736610.00","762480.00","0.00","264676.00","580553.00","1247264.00","355616453.00","2968835.00","--","309429.00","--","378073.00","2777182.00","10802.00","--","311511034.00","--","--","--","2131087.00","232616.00","754237.00","55608.00","109731.00","321238634.00","19576094.00","--","402822.00","15178290.00","-779387.00","0.00","--","--","--","--","34377819.00","--","0.00","0.00","17.56"
"114/10/29","113","3","2897","王道銀行","6907028.00","18226220.00","188614668.00","168842040.00","25386799.00","--","6090247.00","3648516.00","633287.00","--","--","244928763.00","7069168.00","--","1056760.00","2349235.00","437786.00","--","1670508.00","724700.00","1861619.00","678447344.00","65982225.00","--","1409847.00","--","188875503.00","5888797.00","298541.00","--","324356104.00","13950000.00","--","--","10147675.00","2013476.00","456929.00","846185.00","691781.00","614917063.00","32830063.00","--","567541.00","12806110.00","-1391920.00","-73183.00","44738611.00","--","--","18791670.00","63530281.00","--","7939000.00","0.00","13.66"
"114/10/29","113","3","5876","上海商銀","41398176.00","418966756.00","9645423.00","439413266.00","219323030.00","--","14180928.00","27778716.00","140268.00","--","--","1222117971.00","2576255.00","--","16460.00","23772923.00","1868513.00","7612880.00","2207217.00","3308048.00","13095074.00","2447421904.00","33856841.00","--","5671882.00","--","6030564.00","42063498.00","1994790.00","--","2014206319.00","56346986.00","--","--","8661263.00","3347619.00","1895499.00","9472250.00","4192419.00","2187739930.00","48616031.00","--","27705927.00","109140214.00","8098307.00","-83144.00","193477335.00","--","--","66204639.00","259681974.00","0.00","11397439.00","0.00","39.89"
