出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","1","2801","彰銀","5137123.00","2317189.00","572122.00","3782521.00","3099669.00","606885.00","2492784.00","--","--","2492784.00","-2588704.00","--","-95920.00","2492784.00","--","--","-95920.00","--","--","0.25"
"114/10/29","109","1","2812","台中銀","2122793.00","645045.00","178521.00","1474506.00","1114811.00","235121.00","879690.00","--","--","879690.00","-38979.00","--","840711.00","879690.00","--","--","840711.00","--","--","0.24"
"114/10/29","109","1","2820","華票","232374.00","341121.00","-165.00","118277.00","455383.00","98314.00","357069.00","--","--","357069.00","-289280.00","0.00","67789.00","--","--","--","--","--","--","0.27"
"114/10/29","109","1","2834","臺企銀","4276912.00","1226887.00","870166.00","3091812.00","1541821.00","271475.00","1270346.00","0.00","--","1270346.00","-1304123.00","--","-33777.00","1270346.00","0.00","0.00","-33777.00","0.00","0.00","0.18"
"114/10/29","109","1","2836","高雄銀","643946.00","353238.00","120195.00","626804.00","250185.00","34703.00","215482.00","--","--","215482.00","-459853.00","--","-244371.00","--","--","--","--","--","--","0.20"
"114/10/29","109","1","2838","聯邦銀","1815400.00","1204615.00","135593.00","2388308.00","496114.00","127462.00","368652.00","0.00","--","368652.00","-2936579.00","--","-2567927.00","368689.00","--","-37.00","-2567890.00","--","-37.00","0.13"
"114/10/29","109","1","2845","遠東銀","1471992.00","827357.00","233184.00","1663918.00","402247.00","22814.00","379433.00","--","--","379433.00","-212831.00","--","166602.00","379433.00","--","--","166602.00","--","--","0.11"
"114/10/29","109","1","2849","安泰銀","926761.00","569884.00","-47968.00","688026.00","856587.00","153037.00","703550.00","0.00","--","703550.00","34401.00","--","737951.00","--","--","--","--","--","--","0.36"
"114/10/29","109","1","2897","王道銀行","925499.00","957586.00","256320.00","1089413.00","537352.00","150634.00","386718.00","-9088.00","--","377630.00","-923788.00","--","-546158.00","115440.00","--","262190.00","-607055.00","--","60897.00","0.05"
"114/10/29","109","1","5876","上海商銀","7294792.00","2648521.00","328783.00","3707219.00","5907311.00","1158390.00","4748921.00","--","--","4748921.00","-3775220.00","--","973701.00","3599664.00","--","1149257.00","458515.00","0.00","515186.00","0.81"
