出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","4","2801","彰銀","19140252.00","8176840.00","2836199.00","16170327.00","8310566.00","1269639.00","7040927.00","--","--","7040927.00","-230208.00","--","6810719.00","7040927.00","--","--","6810719.00","--","--","0.68"
"114/10/29","109","4","2812","台中銀","8279093.00","3364649.00","519032.00","6366280.00","4758430.00","732897.00","4025533.00","--","--","4025533.00","448863.00","--","4474396.00","4025533.00","--","--","4474396.00","--","--","1.03"
"114/10/29","109","4","2820","華票","1120638.00","1386533.00","31875.00","483593.00","1991703.00","413461.00","1578242.00","--","--","1578242.00","981173.00","--","2559415.00","--","--","--","--","--","--","1.18"
"114/10/29","109","4","2834","臺企銀","16192217.00","5677225.00","4054740.00","12429441.00","5385261.00","683486.00","4701775.00","0.00","--","4701775.00","-133395.00","--","4568380.00","4701775.00","0.00","0.00","4568380.00","--","--","0.63"
"114/10/29","109","4","2836","高雄銀","2605181.00","1120174.00","351774.00","2486920.00","886661.00","123346.00","763315.00","--","--","763315.00","183164.00","--","946479.00","--","--","--","--","--","--","0.68"
"114/10/29","109","4","2838","聯邦銀","7641060.00","6789302.00","290540.00","10198147.00","3941675.00","500170.00","3441505.00","--","--","3441505.00","1194707.00","--","4636212.00","3441709.00","--","-204.00","4636413.00","--","-201.00","0.96"
"114/10/29","109","4","2845","遠東銀","6036627.00","5180859.00","1464719.00","6864533.00","2888234.00","369531.00","2518703.00","--","--","2518703.00","511113.00","--","3029816.00","2518703.00","--","--","3029816.00","--","--","0.73"
"114/10/29","109","4","2849","安泰銀","3425664.00","2421297.00","479573.00","2806872.00","2560516.00","389056.00","2171460.00","0.00","--","2171460.00","86137.00","--","2257597.00","--","--","--","--","--","--","1.11"
"114/10/29","109","4","2897","王道銀行","4024649.00","4031842.00","599286.00","4357908.00","3099297.00","785791.00","2313506.00","-12577.00","--","2300929.00","915112.00","--","3216041.00","1147403.00","--","1153526.00","1384692.00","--","1831349.00","0.41"
"114/10/29","109","4","5876","上海商銀","26388610.00","11443167.00","1671916.00","14606093.00","21553768.00","3739152.00","17814616.00","--","--","17814616.00","-5579247.00","--","12235369.00","13462945.00","--","4351671.00","10804858.00","--","1430511.00","3.01"
