出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","4","2880","華南金","24642539.00","15321985.00","39964524.00","2061723.00","911675.00","25801321.00","11189805.00","2536322.00","8653483.00","--","8653483.00","-1129275.00","7524208.00","8653353.00","--","130.00","7524039.00","--","169.00","0.67"
"114/10/29","109","4","2881","富邦金","137294299.00","339211786.00","476506085.00","4372045.00","306374131.00","62631997.00","103127912.00","12156235.00","90971677.00","--","90971677.00","88778596.00","179750273.00","90272445.00","--","699232.00","177902601.00","--","1847672.00","8.54"
"114/10/29","109","4","2882","國泰金","190929532.00","438984953.00","629914485.00","3177875.00","462094141.00","83026688.00","81615781.00","5657558.00","75958223.00","--","75958223.00","80238491.00","156196714.00","74579460.00","--","1378763.00","154988421.00","--","1208293.00","5.41"
"114/10/29","109","4","2883","凱基金","66703953.00","158086500.00","224790453.00","364663.00","174464035.00","28013362.00","21948393.00","1272107.00","20676286.00","--","20676286.00","25625929.00","46302215.00","12655277.00","--","8021009.00","21658668.00","--","24643547.00","0.87"
"114/10/29","109","4","2884","玉山金","21338518.00","34910526.00","56249044.00","3225752.00","--","32494200.00","20529092.00","2481236.00","18047856.00","--","18047856.00","-1024968.00","17022888.00","18026592.00","--","21264.00","17001757.00","--","21131.00","1.43"
"114/10/29","109","4","2885","元大金","26918952.00","88709914.00","115628866.00","2152052.00","39928431.00","42782105.00","30766278.00","4789234.00","25977044.00","--","25977044.00","4638864.00","30615908.00","24104576.00","--","1872468.00","28237885.00","--","2378023.00","1.99"
"114/10/29","109","4","2886","兆豐金","31550874.00","29259048.00","60809922.00","2151568.00","227160.00","29100556.00","29330638.00","4312670.00","25017968.00","--","25017968.00","629445.00","25647413.00","25017968.00","0.00","0.00","25647413.00","0.00","0.00","1.84"
"114/10/29","109","4","2887","台新新光金","21659114.00","22485735.00","44144849.00","1860723.00","--","25852998.00","16431128.00","1942301.00","14488827.00","--","14488827.00","472964.00","14961791.00","14493422.00","--","-4595.00","14966281.00","--","-4490.00","1.17"
"114/10/29","109","4","2889","國票金","2277257.00","6292894.00","8570151.00","93004.00","--","3734406.00","4742741.00","1007822.00","3734919.00","--","3734919.00","1261980.00","4996899.00","3248085.00","--","486834.00","4505763.00","--","491136.00","1.12"
"114/10/29","109","4","2890","永豐金","18500556.00","20490197.00","38990753.00","2417627.00","--","22603735.00","13969391.00","1728037.00","12241354.00","--","12241354.00","3155737.00","15397091.00","12241354.00","--","0.00","15397091.00","--","0.00","1.09"
"114/10/29","109","4","2891","中信金","109053668.00","85352653.00","194406321.00","9258231.00","68870986.00","64700047.00","51577057.00","8721902.00","42855155.00","--","42855155.00","1628895.00","44484050.00","42853406.00","--","1749.00","44487441.00","--","-3391.00","2.15"
"114/10/29","109","4","2892","第一金","30482847.00","29085381.00","59568228.00","4511292.00","10707035.00","24730173.00","19619728.00","2812187.00","16807541.00","--","16807541.00","-2248139.00","14559402.00","16807541.00","--","--","14559402.00","--","--","1.31"
"114/10/29","109","4","5880","合庫金","34896214.00","16869773.00","51765987.00","7100682.00","-1019296.00","25861904.00","19822697.00","2687706.00","17134991.00","--","17134991.00","4796882.00","21931873.00","16584137.00","--","550854.00","20632716.00","--","1299157.00","1.24"
