出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","2","2880","華南金","12229945.00","4750201.00","16980146.00","1212454.00","528605.00","12421702.00","2817385.00","1344806.00","1472579.00","--","1472579.00","-1655876.00","-183297.00","1472492.00","--","87.00","-183417.00","--","120.00","0.11"
"114/10/29","109","2","2881","富邦金","68378579.00","176380994.00","244759573.00","2570603.00","166133315.00","30716206.00","45339449.00","7875453.00","37463996.00","--","37463996.00","-25577608.00","11886388.00","37284116.00","--","179880.00","11564928.00","--","321460.00","3.36"
"114/10/29","109","2","2882","國泰金","95905403.00","225245216.00","321150619.00","920134.00","241909202.00","40497545.00","37823738.00","5122026.00","32701712.00","--","32701712.00","1755378.00","34457090.00","32121758.00","--","579954.00","33785391.00","--","671699.00","2.18"
"114/10/29","109","2","2883","凱基金","32755888.00","71802094.00","104557982.00","176607.00","81441614.00","13660002.00","9279759.00","2085912.00","7193847.00","--","7193847.00","-8761433.00","-1567586.00","3026923.00","--","4166924.00","-1417908.00","--","-149678.00","0.21"
"114/10/29","109","2","2884","玉山金","10190191.00","18752901.00","28943092.00","1512877.00","--","16042136.00","11388079.00","1693187.00","9694892.00","--","9694892.00","-956541.00","8738351.00","9690123.00","--","4769.00","8733637.00","--","4714.00","0.77"
"114/10/29","109","2","2885","元大金","13057566.00","38393693.00","51451259.00","1125171.00","15584725.00","20602848.00","14138515.00","2419579.00","11718936.00","--","11718936.00","512338.00","12231274.00","11064297.00","--","654639.00","12176944.00","--","54330.00","0.91"
"114/10/29","109","2","2886","兆豐金","16201714.00","14045408.00","30247122.00","2455472.00","198036.00","14234068.00","13359546.00","2078117.00","11281429.00","--","11281429.00","1203542.00","12484971.00","11281429.00","--","0.00","12484971.00","--","0.00","0.83"
"114/10/29","109","2","2887","台新新光金","10746495.00","10887915.00","21634410.00","1050607.00","--","12207015.00","8376788.00","1258394.00","7118394.00","--","7118394.00","-85350.00","7033044.00","7119569.00","--","-1175.00","7034098.00","--","-1054.00","0.57"
"114/10/29","109","2","2889","國票金","992946.00","2730483.00","3723429.00","-66736.00","--","1634982.00","2155183.00","503282.00","1651901.00","--","1651901.00","668540.00","2320441.00","1489871.00","--","162030.00","2148785.00","--","171656.00","0.52"
"114/10/29","109","2","2890","永豐金","8672000.00","9898445.00","18570445.00","1101591.00","--","10956454.00","6512400.00","864771.00","5647629.00","--","5647629.00","171950.00","5819579.00","5647629.00","--","0.00","5819579.00","--","0.00","0.50"
"114/10/29","109","2","2891","中信金","54929389.00","55664410.00","110593799.00","5489098.00","47425189.00","32286074.00","25393438.00","6214416.00","19179022.00","--","19179022.00","-18436827.00","742195.00","19177109.00","--","1913.00","745356.00","--","-3161.00","0.93"
"114/10/29","109","2","2892","第一金","14715297.00","13339258.00","28054555.00","2335046.00","3925868.00","11480914.00","10312727.00","1548382.00","8764345.00","--","8764345.00","-3128479.00","5635866.00","8764345.00","--","--","5635866.00","--","--","0.68"
"114/10/29","109","2","5880","合庫金","17409378.00","6762673.00","24172051.00","3236276.00","-916995.00","12423724.00","9429046.00","1374495.00","8054551.00","--","8054551.00","3425965.00","11480516.00","7752529.00","--","302022.00","11038831.00","--","441685.00","0.58"
