出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","109","2","2801","彰銀","9724922.00","4761762.00","1417131.00","7852928.00","5216625.00","970847.00","4245778.00","--","--","4245778.00","-407820.00","--","3837958.00","4245778.00","--","--","3837958.00","--","--","0.41"
"114/10/29","109","2","2812","台中銀","4125635.00","1320969.00","179817.00","3056202.00","2210585.00","369747.00","1840838.00","--","--","1840838.00","282246.00","--","2123084.00","1840838.00","--","--","2123084.00","--","--","0.47"
"114/10/29","109","2","2820","華票","499411.00","675222.00","-449.00","237713.00","937369.00","199510.00","737859.00","--","--","737859.00","441359.00","--","1179218.00","--","--","--","--","--","--","0.55"
"114/10/29","109","2","2834","臺企銀","8081341.00","2557272.00","1954981.00","6182974.00","2500658.00","242487.00","2258171.00","--","--","2258171.00","75796.00","--","2333967.00","2258171.00","0.00","0.00","2333967.00","0.00","0.00","0.30"
"114/10/29","109","2","2836","高雄銀","1286259.00","610948.00","177631.00","1259191.00","460385.00","66135.00","394250.00","--","--","394250.00","66925.00","--","461175.00","--","--","--","--","--","--","0.36"
"114/10/29","109","2","2838","聯邦銀","3732569.00","3046946.00","273778.00","4919451.00","1586286.00","205494.00","1380792.00","--","--","1380792.00","-402417.00","--","978375.00","1380774.00","--","18.00","978357.00","--","18.00","0.29"
"114/10/29","109","2","2845","遠東銀","2955457.00","2685861.00","514221.00","3311438.00","1815659.00","200540.00","1615119.00","--","--","1615119.00","374910.00","--","1990029.00","1615119.00","--","--","1990029.00","--","--","0.48"
"114/10/29","109","2","2849","安泰銀","1764078.00","1279019.00","214315.00","1408885.00","1419897.00","228787.00","1191110.00","0.00","--","1191110.00","51864.00","--","1242974.00","--","--","--","--","--","--","0.61"
"114/10/29","109","2","2897","王道銀行","1864028.00","2012030.00","428365.00","2143860.00","1303833.00","302173.00","1001660.00","-10392.00","--","991268.00","296363.00","--","1287631.00","454198.00","--","537070.00","438603.00","--","849028.00","0.14"
"114/10/29","109","2","5876","上海商銀","13647327.00","5318371.00","707816.00","7394908.00","10862974.00","1986140.00","8876834.00","--","--","8876834.00","-2793947.00","--","6082887.00","6772455.00","--","2104379.00","5458451.00","--","624436.00","1.52"
