出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","4","2801","彰銀","24645303.00","9493287.00","3319215.00","17768647.00","13050728.00","2079577.00","10971151.00","--","--","10971151.00","-8151103.00","--","2820048.00","10971151.00","--","--","2820048.00","--","--","1.04"
"114/10/28","111","4","2812","台中銀","10774982.00","4242182.00","1252450.00","7164071.00","6600643.00","1256438.00","5344205.00","--","--","5344205.00","-1414184.00","--","3930021.00","5344205.00","--","--","3930021.00","--","--","1.12"
"114/10/28","111","4","2820","華票","839231.00","805792.00","-22783.00","466512.00","1201294.00","161012.00","1040282.00","--","--","1040282.00","-3412299.00","--","-2372017.00","--","--","--","--","--","--","0.77"
"114/10/28","111","4","2834","臺企銀","20227973.00","8301150.00","2386062.00","14103269.00","12039792.00","1917940.00","10121852.00","0.00","--","10121852.00","-6900246.00","--","3221606.00","10121852.00","0.00","0.00","3221606.00","--","--","1.26"
"114/10/28","111","4","2836","高雄銀","2905870.00","993208.00","109435.00","2649256.00","1140387.00","205887.00","934500.00","--","--","934500.00","-2041490.00","--","-1106990.00","--","--","--","--","--","--","0.75"
"114/10/28","111","4","2838","聯邦銀","9841735.00","6143604.00","499377.00","10936188.00","4549774.00","1008240.00","3541534.00","--","--","3541534.00","-6726519.00","--","-3184985.00","3539070.00","--","2464.00","-3187453.00","--","2468.00","0.85"
"114/10/28","111","4","2845","遠東銀","7043553.00","4695378.00","544102.00","7003713.00","4191116.00","513614.00","3677502.00","--","--","3677502.00","-1742616.00","--","1934886.00","3677502.00","--","--","1934886.00","--","--","1.00"
"114/10/28","111","4","2849","安泰銀","4029682.00","1952071.00","1740909.00","2951114.00","1289730.00","224112.00","1065618.00","0.00","--","1065618.00","-1747271.00","--","-681653.00","--","--","--","--","--","--","0.54"
"114/10/28","111","4","2897","王道銀行","4581495.00","7539324.00","608103.00","4895490.00","6617226.00","808871.00","5808355.00","0.00","--","5808355.00","-5182417.00","--","625938.00","5034471.00","--","773884.00","2259593.00","--","-1633655.00","1.80"
"114/10/28","111","4","5876","上海商銀","33243343.00","11355979.00","4336995.00","17030577.00","23231750.00","4135726.00","19096024.00","--","--","19096024.00","-8660753.00","--","10435271.00","14937870.00","--","4158154.00","5506359.00","--","4928912.00","3.33"
