出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","3","2801","彰銀","18349797.00","6788838.00","2138177.00","13028141.00","9972317.00","1451799.00","8520518.00","--","--","8520518.00","-8050280.00","--","470238.00","8520518.00","--","--","470238.00","--","--","0.80"
"114/10/28","111","3","2812","台中銀","8015198.00","3134524.00","982190.00","5288522.00","4879010.00","934184.00","3944826.00","--","--","3944826.00","-1442766.00","--","2502060.00","3944826.00","--","--","2502060.00","--","--","0.83"
"114/10/28","111","3","2820","華票","738325.00","666899.00","-22398.00","346669.00","1080953.00","155310.00","925643.00","0.00","0.00","925643.00","-3659003.00","--","-2733360.00","--","--","--","--","--","--","0.69"
"114/10/28","111","3","2834","臺企銀","15137165.00","5614784.00","1604071.00","10658119.00","8489759.00","1399858.00","7089901.00","--","--","7089901.00","-8473077.00","--","-1383176.00","7089901.00","--","--","-1383176.00","--","--","0.88"
"114/10/28","111","3","2836","高雄銀","2172319.00","804559.00","55103.00","1991716.00","930059.00","145116.00","784943.00","--","--","784943.00","-2359969.00","--","-1575026.00","--","--","--","--","--","--","0.63"
"114/10/28","111","3","2838","聯邦銀","7429059.00","4122127.00","443008.00","7996810.00","3111368.00","737643.00","2373725.00","--","--","2373725.00","-7931254.00","--","-5557529.00","2370872.00","--","2853.00","-5560385.00","--","2856.00","0.53"
"114/10/28","111","3","2845","遠東銀","5272457.00","3096354.00","400354.00","5066875.00","2901582.00","397713.00","2503869.00","--","--","2503869.00","-2118235.00","--","385634.00","2503869.00","--","--","385634.00","--","--","0.70"
"114/10/28","111","3","2849","安泰銀","3125050.00","1496152.00","493270.00","2206450.00","1921482.00","308813.00","1612669.00","0.00","--","1612669.00","-2095891.00","--","-483222.00","--","--","--","--","--","--","0.82"
"114/10/28","111","3","2897","王道銀行","3697396.00","3282589.00","392505.00","3545127.00","3042353.00","656041.00","2386312.00","0.00","--","2386312.00","-5487977.00","--","-3101665.00","1704317.00","--","681995.00","-1212289.00","--","-1889376.00","0.58"
"114/10/28","111","3","5876","上海商銀","23667565.00","9785031.00","1416248.00","12363690.00","19672658.00","3443904.00","16228754.00","--","--","16228754.00","-8053318.00","--","8175436.00","12988842.00","--","3239912.00","3207474.00","--","4967962.00","2.91"
