出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","4","2880","華南金","33177691.00","20489061.00","53666752.00","3311768.00","1095681.00","28266312.00","20992991.00","3684520.00","17308471.00","--","17308471.00","-22896652.00","-5588181.00","17308343.00","--","128.00","-5588357.00","--","176.00","1.27"
"114/10/28","111","4","2881","富邦金","165211939.00","94246360.00","259458299.00","5767881.00","122853354.00","69891412.00","60945652.00","13081160.00","47864492.00","--","47864492.00","-397608175.00","-349743683.00","46925627.00","--","938865.00","-343795843.00","--","-5947840.00","3.54"
"114/10/28","111","4","2882","國泰金","226162526.00","115271132.00","341433658.00","4777580.00","198098005.00","88610281.00","49947792.00","11985678.00","37962114.00","--","37962114.00","-344316374.00","-306354260.00","37359360.00","--","602754.00","-306895790.00","--","541530.00","2.58"
"114/10/28","111","4","2883","凱基金","70858014.00","24997389.00","95855403.00","-146568.00","44989888.00","29071218.00","21940865.00","5551678.00","16389187.00","--","16389187.00","-84063024.00","-67673837.00","16365629.00","--","23558.00","-67700361.00","--","26524.00","0.98"
"114/10/28","111","4","2884","玉山金","29618363.00","25187556.00","54805919.00","2076541.00","--","32826180.00","19903198.00","4121857.00","15781341.00","--","15781341.00","-4722290.00","11059051.00","15759000.00","--","22341.00","11035019.00","--","24032.00","1.10"
"114/10/28","111","4","2885","元大金","30701365.00","60800517.00","91501882.00","318190.00","19533972.00","43235907.00","28413813.00","5703400.00","22710413.00","--","22710413.00","-15065715.00","7644698.00","21456327.00","--","1254086.00","5414225.00","--","2230473.00","1.72"
"114/10/28","111","4","2886","兆豐金","37683094.00","18366559.00","56049653.00","2876572.00","2357830.00","29670950.00","21144301.00","2809343.00","18334958.00","--","18334958.00","-27884634.00","-9549676.00","18334958.00","0.00","0.00","-9549676.00","0.00","0.00","1.32"
"114/10/28","111","4","2887","台新新光金","29222558.00","37219912.00","66442470.00","1545221.00","18048324.00","29199606.00","17649319.00","2793426.00","14855893.00","--","14855893.00","-6679363.00","8176530.00","14863852.00","--","-7959.00","8184398.00","--","-7868.00","1.09"
"114/10/28","111","4","2889","國票金","2151127.00","3681439.00","5832566.00","-45947.00","--","3627104.00","2251409.00","597095.00","1654314.00","--","1654314.00","-4876709.00","-3222395.00","1287976.00","--","366338.00","-3415272.00","--","192877.00","0.41"
"114/10/28","111","4","2890","永豐金","26903424.00","20342332.00","47245756.00","2444392.00","--","25396649.00","19404715.00","3443715.00","15961000.00","--","15961000.00","-15729289.00","231711.00","15961000.00","--","0.00","231711.00","--","0.00","1.40"
"114/10/28","111","4","2891","中信金","127117180.00","12135119.00","139252299.00","8986177.00","11816445.00","71400740.00","47048937.00","14435827.00","32613110.00","--","32613110.00","-66951060.00","-34337950.00","31278991.00","--","1334119.00","-35615204.00","--","1277254.00","1.55"
"114/10/28","111","4","2892","第一金","37969147.00","29787247.00","67756394.00","6576606.00","8905998.00","27787186.00","24486604.00","3890941.00","20595663.00","--","20595663.00","-8055792.00","12539871.00","20595663.00","--","--","12539871.00","--","--","1.56"
"114/10/28","111","4","5880","合庫金","37763642.00","15418510.00","53182152.00","1214750.00","-728695.00","28309753.00","24386344.00","3569052.00","20817292.00","--","20817292.00","-28978656.00","-8161364.00","20248985.00","--","568307.00","-7180682.00","--","-980682.00","1.45"
