出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","2","5291","邑昇","815733.00","612514.00","--","--","203219.00","--","--","203219.00","85874.00","--","117345.00","16119.00","133464.00","29639.00","103825.00","--","--","103825.00","952.00","--","104777.00","103825.00","--","--","104777.00","--","--","2.65"
"114/10/28","111","2","5299","杰力","1487246.00","860659.00","--","--","626587.00","--","--","626587.00","194393.00","--","432194.00","41405.00","473599.00","97222.00","376377.00","--","--","376377.00","490.00","--","376867.00","376377.00","--","--","376867.00","--","--","10.50"
"114/10/28","111","2","5301","寶得利","25750.00","21790.00","--","--","3960.00","--","--","3960.00","45811.00","--","-41851.00","529.00","-41322.00","0.00","-41322.00","--","--","-41322.00","-2147.00","--","-43469.00","-40550.00","--","-772.00","-42744.00","--","-725.00","-0.39"
"114/10/28","111","2","5302","太欣","6190.00","5202.00","--","--","988.00","--","--","988.00","40044.00","--","-39056.00","12548.00","-26508.00","-2.00","-26506.00","--","--","-26506.00","46.00","--","-26460.00","-25257.00","--","-1249.00","-25204.00","--","-1256.00","-0.16"
"114/10/28","111","2","5309","系統電","1594327.00","1226067.00","--","--","368260.00","--","--","368260.00","226706.00","--","141554.00","17680.00","159234.00","0.00","159234.00","--","--","159234.00","7851.00","--","167085.00","159234.00","--","0.00","167085.00","--","0.00","1.03"
"114/10/28","111","2","5310","天剛","9352.00","9061.00","--","--","291.00","--","--","291.00","13605.00","--","-13314.00","-30339.00","-43653.00","0.00","-43653.00","--","--","-43653.00","21.00","--","-43632.00","-43653.00","--","--","-43632.00","--","--","-1.51"
"114/10/28","111","2","5312","寶島科","1535533.00","598431.00","--","--","937102.00","--","--","937102.00","887663.00","--","49439.00","6888.00","56327.00","11544.00","44783.00","--","--","44783.00","55686.00","--","100469.00","44783.00","--","0.00","100469.00","--","0.00","0.75"
"114/10/28","111","2","5314","世紀*","3718.00","1988.00","--","--","1730.00","--","--","1730.00","14766.00","--","-13036.00","1703.00","-11333.00","0.00","-11333.00","--","--","-11333.00","-12375.00","--","-23708.00","-11333.00","--","--","-23708.00","--","--","-0.19"
"114/10/28","111","2","5315","光聯","952932.00","756660.00","--","--","196272.00","0.00","0.00","196272.00","90017.00","--","106255.00","45812.00","152067.00","35253.00","116814.00","0.00","--","116814.00","-84017.00","--","32797.00","116814.00","--","0.00","32797.00","--","0.00","1.10"
"114/10/28","111","2","5321","美而快","1523015.00","959245.00","--","--","563770.00","--","--","563770.00","429832.00","--","133938.00","23354.00","157292.00","30703.00","126589.00","--","--","126589.00","3627.00","--","130216.00","88532.00","--","38057.00","92157.00","--","38059.00","2.53"
"114/10/28","111","2","5324","士開","221409.00","158507.00","--","--","62902.00","--","--","62902.00","163779.00","--","-100877.00","-2279.00","-103156.00","2240.00","-105396.00","--","--","-105396.00","-2133.00","--","-107529.00","-95088.00","--","-10308.00","-97075.00","--","-10454.00","-0.42"
"114/10/28","111","2","5328","華容","490725.00","417527.00","--","--","73198.00","--","--","73198.00","87082.00","--","-13884.00","31471.00","17587.00","3593.00","13994.00","--","--","13994.00","-86104.00","--","-72110.00","12936.00","--","1058.00","-73168.00","--","1058.00","0.07"
"114/10/28","111","2","5340","建榮","708763.00","600920.00","--","--","107843.00","--","--","107843.00","57795.00","--","50048.00","24065.00","74113.00","14522.00","59591.00","--","--","59591.00","0.00","--","59591.00","--","--","--","--","--","--","0.30"
"114/10/28","111","2","5344","立衛","153705.00","130620.00","--","--","23085.00","--","--","23085.00","22077.00","--","1008.00","8299.00","9307.00","0.00","9307.00","--","--","9307.00","-11474.00","--","-2167.00","--","--","--","--","--","--","0.12"
"114/10/28","111","2","5345","馥鴻","4371.00","10368.00","--","--","-5997.00","--","--","-5997.00","23429.00","--","-29426.00","-9499.00","-38925.00","-19.00","-38906.00","--","--","-38906.00","-190.00","--","-39096.00","-38906.00","--","--","-39096.00","--","--","-0.82"
"114/10/28","111","2","5347","世界","28792953.00","14621683.00","--","--","14171270.00","--","--","14171270.00","3271893.00","--","10899377.00","280523.00","11179900.00","2201692.00","8978208.00","--","--","8978208.00","1207863.00","--","10186071.00","8978208.00","--","0.00","10186071.00","--","0.00","5.48"
"114/10/28","111","2","5348","正能量智能","70224.00","53516.00","--","--","16708.00","--","--","16708.00","16872.00","--","-164.00","1945.00","1781.00","0.00","1781.00","--","--","1781.00","0.00","--","1781.00","--","--","--","--","--","--","0.06"
"114/10/28","111","2","5351","鈺創","3023201.00","2083960.00","--","--","939241.00","--","--","939241.00","633307.00","28940.00","334874.00","37152.00","372026.00","32258.00","339768.00","--","--","339768.00","9180.00","--","348948.00","371242.00","--","-31474.00","379221.00","--","-30273.00","1.37"
"114/10/28","111","2","5353","台林","882997.00","685648.00","--","--","197349.00","--","--","197349.00","127560.00","--","69789.00","8384.00","78173.00","19669.00","58504.00","--","--","58504.00","851.00","--","59355.00","58504.00","--","0.00","59355.00","--","0.00","0.78"
"114/10/28","111","2","5355","佳總","259971.00","288891.00","--","--","-28920.00","--","--","-28920.00","40613.00","--","-69533.00","22410.00","-47123.00","5131.00","-52254.00","--","--","-52254.00","2934.00","--","-49320.00","-52171.00","--","-83.00","-49237.00","--","-83.00","-0.31"
"114/10/28","111","2","5356","協益","1819918.00","1749786.00","--","--","70132.00","--","--","70132.00","163173.00","--","-93041.00","27290.00","-65751.00","-2692.00","-63059.00","--","--","-63059.00","97132.00","--","34073.00","-57676.00","--","-5383.00","37207.00","--","-3134.00","-0.56"
"114/10/28","111","2","5364","力麗店","168270.00","176937.00","--","--","-8667.00","--","--","-8667.00","21702.00","--","-30369.00","-8177.00","-38546.00","401.00","-38947.00","--","--","-38947.00","4.00","--","-38943.00","-30370.00","--","-8577.00","-30366.00","--","-8577.00","-1.05"
"114/10/28","111","2","5371","中光電","25708994.00","21147168.00","--","--","4561826.00","--","--","4561826.00","3553146.00","--","1008680.00","691927.00","1700607.00","368436.00","1332171.00","--","--","1332171.00","-442881.00","--","889290.00","1289527.00","--","42644.00","815430.00","--","73860.00","3.30"
"114/10/28","111","2","5381","合正","160406.00","116512.00","--","--","43894.00","--","--","43894.00","46268.00","--","-2374.00","8245.00","5871.00","378.00","5493.00","--","--","5493.00","42606.00","--","48099.00","5493.00","--","--","48099.00","--","--","0.03"
"114/10/28","111","2","5386","青雲","2039412.00","1946051.00","--","--","93361.00","--","--","93361.00","41626.00","--","51735.00","-18843.00","32892.00","8530.00","24362.00","--","--","24362.00","0.00","--","24362.00","--","--","--","--","--","--","0.91"
"114/10/28","111","2","5392","能率","5319296.00","4541305.00","--","--","777991.00","--","--","777991.00","793940.00","--","-15949.00","159864.00","143915.00","65632.00","78283.00","--","--","78283.00","83983.00","--","162266.00","10653.00","--","67630.00","93543.00","--","68723.00","0.06"
"114/10/28","111","2","5398","慕康生醫","122701.00","84742.00","--","--","37959.00","--","--","37959.00","40712.00","--","-2753.00","4133.00","1380.00","1038.00","342.00","--","--","342.00","-17226.00","--","-16884.00","342.00","--","--","-16884.00","--","--","0.01"
"114/10/28","111","2","5403","中菲","1183406.00","763964.00","--","--","419442.00","--","--","419442.00","207664.00","--","211778.00","16823.00","228601.00","49678.00","178923.00","27929.00","--","206852.00","-41173.00","--","165679.00","193410.00","--","13442.00","152237.00","--","13442.00","2.81"
"114/10/28","111","2","5410","國眾","1445809.00","1146668.00","--","--","299141.00","0.00","0.00","299141.00","219542.00","0.00","79599.00","19651.00","99250.00","19588.00","79662.00","--","--","79662.00","-5273.00","--","74389.00","79671.00","--","-9.00","74398.00","--","-9.00","0.91"
"114/10/28","111","2","5425","台半","7716631.00","5089574.00","--","--","2627057.00","--","--","2627057.00","1253188.00","--","1373869.00","124489.00","1498358.00","438649.00","1059709.00","--","--","1059709.00","225710.00","--","1285419.00","770924.00","--","288785.00","914102.00","--","371317.00","3.10"
"114/10/28","111","2","5426","振發","954520.00","822128.00","--","--","132392.00","--","--","132392.00","100354.00","--","32038.00","88809.00","120847.00","35261.00","85586.00","--","--","85586.00","16104.00","--","101690.00","84698.00","--","888.00","100802.00","--","888.00","0.59"
"114/10/28","111","2","5432","新門","100561.00","80803.00","--","--","19758.00","--","--","19758.00","10297.00","--","9461.00","22258.00","31719.00","322.00","31397.00","--","--","31397.00","--","--","31397.00","--","--","--","--","--","--","1.52"
"114/10/28","111","2","5438","東友","811599.00","703170.00","--","--","108429.00","--","--","108429.00","132744.00","--","-24315.00","20856.00","-3459.00","24994.00","-28453.00","--","--","-28453.00","-111337.00","--","-139790.00","-28453.00","--","--","-139790.00","--","--","-0.36"
"114/10/28","111","2","5439","高技","1547021.00","1255203.00","--","--","291818.00","--","--","291818.00","98953.00","--","192865.00","50232.00","243097.00","41073.00","202024.00","--","--","202024.00","--","--","202024.00","--","--","--","--","--","--","2.17"
"114/10/28","111","2","5443","均豪","2231452.00","1511496.00","--","--","719956.00","--","--","719956.00","446337.00","--","273619.00","100411.00","374030.00","84788.00","289242.00","--","--","289242.00","-80226.00","--","209016.00","211940.00","--","77302.00","140007.00","--","69009.00","1.32"
"114/10/28","111","2","5450","南良","1688385.00","1235074.00","--","--","453311.00","--","--","453311.00","327081.00","0.00","126230.00","31583.00","157813.00","8332.00","149481.00","--","--","149481.00","35353.00","--","184834.00","149481.00","--","--","184834.00","--","--","1.22"
"114/10/28","111","2","5452","佶優","3571251.00","3236093.00","--","--","335158.00","--","--","335158.00","228203.00","--","106955.00","12459.00","119414.00","51223.00","68191.00","--","--","68191.00","28260.00","--","96451.00","58718.00","--","9473.00","83057.00","--","13394.00","0.39"
"114/10/28","111","2","5455","昇益","496353.00","414579.00","--","--","81774.00","--","--","81774.00","37689.00","--","44085.00","3434.00","47519.00","--","47519.00","--","--","47519.00","-7887.00","--","39632.00","--","--","--","--","--","--","0.73"
"114/10/28","111","2","5457","宣德","8956901.00","7260960.00","--","--","1695941.00","--","--","1695941.00","952212.00","--","743729.00","226122.00","969851.00","227303.00","742548.00","--","--","742548.00","164389.00","--","906937.00","355102.00","--","387446.00","432048.00","--","474889.00","2.09"
"114/10/28","111","2","5460","同協","193736.00","161385.00","--","--","32351.00","--","--","32351.00","52020.00","-3.00","-19672.00","6958.00","-12714.00","-1245.00","-11469.00","--","--","-11469.00","6375.00","--","-5094.00","-11469.00","--","0.00","-5094.00","--","0.00","-0.20"
"114/10/28","111","2","5464","霖宏","685229.00","666008.00","--","--","19221.00","--","--","19221.00","46491.00","--","-27270.00","259535.00","232265.00","50862.00","181403.00","--","--","181403.00","--","--","181403.00","181403.00","--","--","181403.00","--","--","2.55"
"114/10/28","111","2","5465","富驊","2232021.00","1938592.00","--","--","293429.00","--","--","293429.00","155974.00","--","137455.00","61903.00","199358.00","35529.00","163829.00","--","--","163829.00","44374.00","--","208203.00","146522.00","--","17307.00","182885.00","--","25318.00","0.99"
"114/10/28","111","2","5468","凱鈺","101079.00","63672.00","--","--","37407.00","--","--","37407.00","21116.00","0.00","16291.00","529.00","16820.00","--","16820.00","--","--","16820.00","0.00","--","16820.00","16820.00","--","--","16820.00","--","--","0.60"
"114/10/28","111","2","5474","聰泰","811668.00","456354.00","--","--","355314.00","--","--","355314.00","166760.00","--","188554.00","25297.00","213851.00","50198.00","163653.00","--","--","163653.00","--","--","163653.00","--","--","--","--","--","--","4.12"
