出表日期,年度,季別,公司代號,公司名稱,收入,支出,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,本期淨利（淨損）,其他綜合損益,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","3","1409","新纖","36768511.00","32246534.00","4521977.00","999501.00","3522476.00","0.00","3522476.00","-1902100.00","1620376.00","2802191.00","--","720285.00","929704.00","--","690672.00","1.74"
"114/10/28","111","3","1718","中纖","25470370.00","22104412.00","3365958.00","980212.00","2385746.00","--","2385746.00","-1232612.00","1153134.00","-730361.00","--","3116107.00","-893470.00","--","2046604.00","-0.54"
"114/10/28","111","3","2207","和泰車","180724849.00","186043244.00","-5318395.00","2066375.00","-7384770.00","--","-7384770.00","-1788373.00","-9173143.00","-10171868.00","--","2787098.00","-12130937.00","--","2957794.00","-18.62"
"114/10/28","111","3","2905","三商","188540837.00","192457151.00","-3916314.00","542417.00","-4458731.00","--","-4458731.00","-12344888.00","-16803619.00","-1675373.00","--","-2783358.00","-6983191.00","--","-9820428.00","-1.92"
