出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","111","1","2801","彰銀","5451252.00","1978438.00","557306.00","4053988.00","2818396.00","441254.00","2377142.00","--","--","2377142.00","-764318.00","--","1612824.00","2377142.00","--","--","1612824.00","--","--","0.23"
"114/10/28","111","1","2812","台中銀","2417616.00","1019878.00","217869.00","1657132.00","1562493.00","286479.00","1276014.00","--","--","1276014.00","-168249.00","--","1107765.00","1276014.00","--","--","1107765.00","--","--","0.28"
"114/10/28","111","1","2820","華票","299718.00","302994.00","-19563.00","121286.00","500989.00","74047.00","426942.00","--","--","426942.00","-1468419.00","0.00","-1041477.00","--","--","--","--","--","--","0.32"
"114/10/28","111","1","2834","臺企銀","4691032.00","1521781.00","255260.00","3368433.00","2589120.00","464859.00","2124261.00","0.00","--","2124261.00","-1266542.00","--","857719.00","2124261.00","0.00","0.00","857719.00","0.00","0.00","0.27"
"114/10/28","111","1","2836","高雄銀","682808.00","352471.00","68326.00","656025.00","310928.00","31399.00","279529.00","--","--","279529.00","-676271.00","--","-396742.00","--","--","--","--","--","--","0.24"
"114/10/28","111","1","2838","聯邦銀","2330496.00","1141123.00","137734.00","2524449.00","809436.00","225402.00","584034.00","--","--","584034.00","-2636463.00","--","-2052429.00","583177.00","--","857.00","-2053286.00","--","857.00","0.19"
"114/10/28","111","1","2845","遠東銀","1623026.00","923109.00","207087.00","1588196.00","750852.00","90140.00","660712.00","--","--","660712.00","-639091.00","--","21621.00","660712.00","--","--","21621.00","--","--","0.19"
"114/10/28","111","1","2849","安泰銀","958250.00","604291.00","93172.00","710011.00","759358.00","78419.00","680939.00","0.00","--","680939.00","-806262.00","--","-125323.00","--","--","--","--","--","--","0.35"
"114/10/28","111","1","2897","王道銀行","1200418.00","1096626.00","43812.00","1134712.00","1118520.00","233590.00","884930.00","7471.00","--","892401.00","-2037979.00","--","-1145578.00","581783.00","--","310618.00","-412423.00","--","-733155.00","0.21"
"114/10/28","111","1","5876","上海商銀","6749977.00","3278520.00","440332.00","3932966.00","5655199.00","1085510.00","4569689.00","--","--","4569689.00","-4432720.00","--","136969.00","3640800.00","--","928889.00","-117241.00","--","254210.00","0.81"
