出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","112","4","1409","新纖","125941330.00","69102198.00","195043528.00","123432958.00","24765491.00","148198449.00","16184093.00","--","1963101.00","13667565.00","4566158.00","-29834.00","36351083.00","--","10493996.00","46845079.00","--","0.00","4680487.00","22.53"
"114/10/29","112","4","1718","中纖","683292033.00","218897888.00","902189921.00","793421493.00","29282353.00","822703846.00","16859057.00","0.00","1712776.00","2474857.00","1044894.00","-1135056.00","20956528.00","0.00","58529547.00","79486075.00","--","0.00","344225645.00","15.62"
"114/10/29","112","4","2207","和泰車","352416400.00","133463950.00","485880350.00","339244897.00","46197106.00","385442003.00","5571028.00","--","2897372.00","53729882.00","4028202.00","--","66226484.00","--","34211863.00","100438347.00","0.00","0.00","0.00","118.88"
"114/10/29","112","4","2905","三商","157897394.00","1394621759.00","1552519153.00","18277578.00","1485930104.00","1504207682.00","11224957.00","0.00","4730938.00","3078543.00","-1542701.00","-592930.00","16898807.00","0.00","31412664.00","48311471.00","0.00","0.00","57093000.00","15.86"
