出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","2","2880","華南金","12513770.00","11368808.00","23882578.00","310506.00","494531.00","13014219.00","10063322.00","1591464.00","8471858.00","--","8471858.00","6033797.00","14505655.00","8471799.00","--","59.00","14505560.00","--","95.00","0.70"
"114/10/29","108","2","2881","富邦金","68870644.00","125436483.00","194307127.00","1262068.00","130029566.00","30407704.00","32607789.00","4835768.00","27772021.00","--","27772021.00","87350526.00","115122547.00","27669232.00","--","102789.00","113427428.00","--","1695119.00","2.70"
"114/10/29","108","2","2882","國泰金","97401508.00","145413977.00","242815485.00","233319.00","160048424.00","42796601.00","39737141.00","5603310.00","34133831.00","--","34133831.00","157289065.00","191422896.00","33439769.00","--","694062.00","190344714.00","--","1078182.00","2.45"
"114/10/29","108","2","2883","凱基金","30833331.00","95427498.00","126260829.00","77582.00","100495491.00","13041238.00","12646518.00","1050182.00","11596336.00","--","11596336.00","45334328.00","56930664.00","7801443.00","--","3794893.00","26539684.00","--","30390980.00","0.54"
"114/10/29","108","2","2884","玉山金","9754147.00","16960477.00","26714624.00","1000156.00","--","13836407.00","11878061.00","1599230.00","10278831.00","--","10278831.00","1240867.00","11519698.00","10272631.00","--","6200.00","11513458.00","--","6240.00","0.88"
"114/10/29","108","2","2885","元大金","12771043.00","36913343.00","49684386.00","125209.00","16836558.00","18877674.00","13844945.00","1956666.00","11888279.00","--","11888279.00","4952052.00","16840331.00","10993893.00","--","894386.00","16279288.00","--","561043.00","0.94"
"114/10/29","108","2","2886","兆豐金","18156222.00","15006305.00","33162527.00","566182.00","-88495.00","14765573.00","17919267.00","2566574.00","15352693.00","--","15352693.00","5874762.00","21227455.00","15354139.00","--","-1446.00","21228901.00","--","-1446.00","1.13"
"114/10/29","108","2","2887","台新新光金","9559252.00","12274483.00","21833735.00","697919.00","--","11762477.00","9373339.00","1152928.00","8220411.00","--","8220411.00","1599097.00","9819508.00","8220360.00","--","51.00","9819457.00","--","51.00","0.68"
"114/10/29","108","2","2889","國票金","851508.00","2436993.00","3288501.00","39013.00","--","1470722.00","1778766.00","270884.00","1507882.00","--","1507882.00","1409491.00","2917373.00","1352690.00","--","155192.00","2696998.00","--","220375.00","0.48"
"114/10/29","108","2","2890","永豐金","7713844.00","11071614.00","18785458.00","757439.00","--","10414289.00","7613730.00","1060707.00","6553023.00","--","6553023.00","1856625.00","8409648.00","6552971.00","--","52.00","8409596.00","--","52.00","0.58"
"114/10/29","108","2","2891","中信金","55043246.00","73735592.00","128778838.00","2489860.00","67288624.00","33295861.00","25704493.00","5307743.00","20396750.00","--","20396750.00","37458341.00","57855091.00","20395003.00","--","1747.00","57849650.00","--","5441.00","1.01"
"114/10/29","108","2","2892","第一金","14648742.00","16460919.00","31109661.00","1852474.00","5620628.00","11653823.00","11982736.00","2068658.00","9914078.00","--","9914078.00","8123456.00","18037534.00","9914078.00","--","--","18037534.00","--","--","0.80"
"114/10/29","108","2","5880","合庫金","17617715.00","6478097.00","24095812.00","2468007.00","-825881.00","12382511.00","10071175.00","1576130.00","8495045.00","--","8495045.00","6976441.00","15471486.00","8258860.00","--","236185.00","14509689.00","--","961797.00","0.64"
