出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","4","2880","華南金","25413577.00","21290756.00","46704333.00","1409146.00","396178.00","26202751.00","18696258.00","2740890.00","15955368.00","--","15955368.00","4879056.00","20834424.00","15955270.00","--","98.00","20834297.00","--","127.00","1.31"
"114/10/29","108","4","2881","富邦金","136680746.00","311311676.00","447992422.00","3223307.00","316278218.00","63022482.00","65468415.00","5895528.00","59572887.00","--","59572887.00","112270524.00","171843411.00","58497257.00","--","1075630.00","169621040.00","--","2222371.00","5.46"
"114/10/29","108","4","2882","國泰金","196366505.00","359520693.00","555887198.00","2205393.00","394074197.00","89050434.00","70557174.00","6697870.00","63859304.00","--","63859304.00","189381909.00","253241213.00","62757286.00","--","1102018.00","251892166.00","--","1349047.00","4.76"
"114/10/29","108","4","2883","凱基金","63477530.00","176904570.00","240382100.00","347979.00","191941972.00","26526342.00","21565807.00","1911986.00","19653821.00","--","19653821.00","50599660.00","70253481.00","12795690.00","--","6858131.00","32007360.00","--","38246121.00","0.88"
"114/10/29","108","4","2884","玉山金","19871069.00","34651549.00","54522618.00","1598078.00","--","29854264.00","23070276.00","2949766.00","20120510.00","--","20120510.00","138758.00","20259268.00","20105129.00","--","15381.00","20244626.00","--","14642.00","1.73"
"114/10/29","108","4","2885","元大金","26132919.00","81475158.00","107608077.00","1352694.00","42443850.00","38270636.00","25540897.00","3399314.00","22141583.00","--","22141583.00","2335038.00","24476621.00","20445508.00","--","1696075.00","23571510.00","--","905111.00","1.75"
"114/10/29","108","4","2886","兆豐金","35066848.00","30208014.00","65274862.00","687183.00","34968.00","30898437.00","33654274.00","4699474.00","28954800.00","--","28954800.00","3982425.00","32937225.00","28956244.00","0.00","-1444.00","32938669.00","0.00","-1444.00","2.13"
"114/10/29","108","4","2887","台新新光金","19589297.00","24052114.00","43641411.00","2615115.00","--","24752722.00","16273574.00","1787643.00","14485931.00","--","14485931.00","1019947.00","15505878.00","14488021.00","--","-2090.00","15507543.00","--","-1665.00","1.19"
"114/10/29","108","4","2889","國票金","1795924.00","5179105.00","6975029.00","249144.00","--","3154593.00","3571292.00","563042.00","3008250.00","--","3008250.00","1765225.00","4773475.00","2629834.00","--","378416.00","4331585.00","--","441890.00","0.92"
"114/10/29","108","4","2890","永豐金","16103684.00","20226199.00","36329883.00","836293.00","--","21236952.00","14256638.00","1779649.00","12476989.00","--","12476989.00","1235768.00","13712757.00","12477021.00","--","-32.00","13712789.00","--","-32.00","1.11"
"114/10/29","108","4","2891","中信金","110637306.00","154080422.00","264717728.00","5641291.00","139137229.00","68130130.00","51809078.00","8926802.00","42882276.00","--","42882276.00","33464443.00","76346719.00","42879806.00","--","2470.00","76346177.00","--","542.00","2.16"
"114/10/29","108","4","2892","第一金","29604239.00","32713635.00","62317874.00","3852196.00","11256010.00","23901112.00","23308556.00","3939805.00","19368751.00","--","19368751.00","7399241.00","26767992.00","19368751.00","--","--","26767992.00","--","--","1.55"
"114/10/29","108","4","5880","合庫金","35345799.00","13750326.00","49096125.00","4117955.00","-1531720.00","25786246.00","20723644.00","3111228.00","17612416.00","--","17612416.00","6340739.00","23953155.00","17235959.00","--","376457.00","22563511.00","--","1389644.00","1.33"
