出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","2","2801","彰銀","11683878.00","4314857.00","995119.00","7956286.00","7047330.00","1048267.00","5999063.00","--","--","5999063.00","1975742.00","--","7974805.00","5999063.00","--","--","7974805.00","--","--","0.60"
"114/10/29","108","2","2812","台中銀","4170744.00","1899017.00","365476.00","3190976.00","2513309.00","406835.00","2106474.00","0.00","--","2106474.00","370243.00","--","2476717.00","2106474.00","--","--","2476717.00","--","--","0.57"
"114/10/29","108","2","2820","華票","429255.00","586124.00","-1415.00","229875.00","786919.00","155276.00","631643.00","--","--","631643.00","290037.00","--","921680.00","--","--","--","--","--","--","0.47"
"114/10/29","108","2","2834","臺企銀","8402455.00","3643222.00","1675706.00","6299533.00","4070438.00","669889.00","3400549.00","--","--","3400549.00","1502781.00","--","4903330.00","3400549.00","0.00","0.00","4903330.00","0.00","0.00","0.53"
"114/10/29","108","2","2836","高雄銀","1388568.00","543562.00","333368.00","1198379.00","400383.00","35079.00","365304.00","--","--","365304.00","383329.00","--","748633.00","--","--","--","--","--","--","0.35"
"114/10/29","108","2","2838","聯邦銀","3203131.00","3455117.00","231206.00","4636476.00","1790566.00","327119.00","1463447.00","0.00","--","1463447.00","2756762.00","--","4220209.00","1451393.00","--","12054.00","4208217.00","--","11992.00","0.34"
"114/10/29","108","2","2845","遠東銀","2673950.00","3374795.00","60832.00","3396370.00","2591543.00","401863.00","2189680.00","0.00","--","2189680.00","586577.00","--","2776257.00","2189680.00","--","--","2776257.00","--","--","0.67"
"114/10/29","108","2","2849","安泰銀","1851108.00","1436734.00","418707.00","1485032.00","1384103.00","211755.00","1172348.00","0.00","--","1172348.00","166829.00","--","1339177.00","--","--","--","--","--","--","0.64"
"114/10/29","108","2","2897","王道銀行","1977758.00","2470149.00","508651.00","2311781.00","1627475.00","415586.00","1211889.00","-2167.00","--","1209722.00","722771.00","--","1932493.00","738310.00","--","471412.00","1244751.00","--","687742.00","0.30"
"114/10/29","108","2","5876","上海商銀","14483147.00","6165172.00","577477.00","7421810.00","12649032.00","2453631.00","10195401.00","--","--","10195401.00","4792745.00","--","14988146.00","7584277.00","--","2611124.00","10847972.00","--","4140174.00","1.85"
