出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","111","1","8421","旭源","324881.00","278595.00","--","--","46286.00","--","2455.00","48741.00","80662.00","--","-31921.00","550414.00","518493.00","0.00","518493.00","--","--","518493.00","1687.00","--","520180.00","507871.00","--","10622.00","509501.00","--","10679.00","9.26"
"114/10/29","111","1","8423","保綠-KY","74853.00","55450.00","--","--","19403.00","--","--","19403.00","12242.00","--","7161.00","882.00","8043.00","1697.00","6346.00","--","--","6346.00","4710.00","--","11056.00","6346.00","--","--","11056.00","--","--","0.26"
"114/10/29","111","1","8424","惠普","249000.00","172958.00","--","--","76042.00","--","--","76042.00","23198.00","--","52844.00","2326.00","55170.00","11176.00","43994.00","--","--","43994.00","--","--","43994.00","43994.00","--","--","43994.00","--","--","1.22"
"114/10/29","111","1","8426","紅木-KY","312691.00","253793.00","--","--","58898.00","--","--","58898.00","94364.00","--","-35466.00","5191.00","-30275.00","-2684.00","-27591.00","0.00","--","-27591.00","13948.00","--","-13643.00","-27591.00","--","--","-13643.00","--","--","-0.55"
"114/10/29","111","1","8431","匯鑽科","303397.00","220394.00","--","--","83003.00","--","--","83003.00","50342.00","--","32661.00","251.00","32912.00","11818.00","21094.00","--","--","21094.00","24376.00","--","45470.00","10217.00","--","10877.00","30017.00","--","15453.00","0.23"
"114/10/29","111","1","8432","東生華","120449.00","49045.00","--","--","71404.00","0.00","0.00","71404.00","49378.00","--","22026.00","2247.00","24273.00","4850.00","19423.00","--","--","19423.00","-7362.00","--","12061.00","--","--","--","--","--","--","0.51"
"114/10/29","111","1","8433","弘帆","683134.00","543939.00","--","--","139195.00","--","--","139195.00","78924.00","--","60271.00","34719.00","94990.00","10029.00","84961.00","--","--","84961.00","34630.00","--","119591.00","84961.00","--","--","119591.00","--","--","1.63"
"114/10/29","111","1","8435","鉅邁","190503.00","108128.00","--","--","82375.00","--","--","82375.00","52395.00","--","29980.00","9625.00","39605.00","9158.00","30447.00","--","--","30447.00","12161.00","--","42608.00","30447.00","--","--","42608.00","--","--","0.96"
"114/10/29","111","1","8436","大江","1657985.00","989141.00","--","--","668844.00","--","--","668844.00","496813.00","--","172031.00","63377.00","235408.00","55816.00","179592.00","--","--","179592.00","178213.00","--","357805.00","154940.00","--","24652.00","332944.00","--","24861.00","1.32"
"114/10/29","111","1","8437","大地-KY","151873.00","29536.00","--","--","122337.00","--","--","122337.00","11788.00","--","110549.00","-10002.00","100547.00","15006.00","85541.00","--","--","85541.00","117803.00","--","203344.00","85541.00","--","--","203344.00","--","--","1.79"
"114/10/29","111","1","8440","綠電","210122.00","181416.00","--","--","28706.00","--","--","28706.00","11848.00","--","16858.00","-1543.00","15315.00","3514.00","11801.00","--","--","11801.00","0.00","--","11801.00","11801.00","--","--","11801.00","--","--","0.31"
"114/10/29","111","1","8444","綠河-KY","1303113.00","1052534.00","--","--","250579.00","--","--","250579.00","255003.00","--","-4424.00","-94136.00","-98560.00","-11949.00","-86611.00","--","--","-86611.00","247796.00","--","161185.00","-79156.00","--","-7455.00","169640.00","--","-8455.00","-0.89"
"114/10/29","111","1","8446","華研","220750.00","62280.00","--","--","158470.00","--","--","158470.00","57400.00","--","101070.00","-47390.00","53680.00","10446.00","43234.00","--","--","43234.00","-49.00","--","43185.00","43415.00","--","-181.00","43485.00","--","-300.00","0.82"
"114/10/29","111","1","8450","霹靂","104946.00","92181.00","--","--","12765.00","--","--","12765.00","67684.00","--","-54919.00","21639.00","-33280.00","2855.00","-36135.00","--","--","-36135.00","5479.00","--","-30656.00","-35529.00","--","-606.00","-30050.00","--","-606.00","-0.69"
"114/10/29","111","1","8455","大拓-KY","418521.00","371499.00","--","--","47022.00","--","--","47022.00","34532.00","--","12490.00","3409.00","15899.00","7418.00","8481.00","--","--","8481.00","-12607.00","--","-4126.00","12412.00","--","-3931.00","-195.00","--","-3931.00","0.49"
"114/10/29","111","1","8472","夠麻吉","71427.00","5165.00","--","--","66262.00","--","--","66262.00","80100.00","--","-13838.00","-4712.00","-18550.00","-2337.00","-16213.00","--","--","-16213.00","--","--","-16213.00","-16213.00","--","--","-16213.00","--","--","-0.91"
"114/10/29","111","1","8477","創業家","687904.00","596138.00","--","--","91766.00","--","--","91766.00","120009.00","--","-28243.00","74.00","-28169.00","-2261.00","-25908.00","--","--","-25908.00","--","--","-25908.00","-25908.00","--","0.00","-25908.00","--","0.00","-0.82"
"114/10/29","111","1","8489","三貝德","324534.00","169858.00","--","--","154676.00","--","--","154676.00","137040.00","--","17636.00","1957.00","19593.00","10790.00","8803.00","--","--","8803.00","-1833.00","--","6970.00","-4166.00","--","12969.00","-5999.00","--","12969.00","-0.11"
"114/10/29","111","1","8905","裕國","475569.00","398738.00","--","--","76831.00","--","--","76831.00","26034.00","--","50797.00","3605.00","54402.00","8245.00","46157.00","--","--","46157.00","1700.00","--","47857.00","46153.00","--","4.00","47850.00","--","7.00","0.40"
"114/10/29","111","1","8906","花王","56966.00","46275.00","--","--","10691.00","--","--","10691.00","10506.00","--","185.00","9276.00","9461.00","--","9461.00","--","--","9461.00","1229.00","--","10690.00","--","--","--","--","--","--","0.29"
"114/10/29","111","1","8908","欣雄","1721259.00","1551284.00","--","--","169975.00","--","--","169975.00","40732.00","--","129243.00","-1512.00","127731.00","25814.00","101917.00","--","--","101917.00","29552.00","--","131469.00","101917.00","--","--","131469.00","--","--","0.45"
"114/10/29","111","1","8916","光隆","2109941.00","1829695.00","--","--","280246.00","--","--","280246.00","164132.00","--","116114.00","56705.00","172819.00","27470.00","145349.00","--","--","145349.00","60883.00","--","206232.00","145427.00","--","-78.00","205646.00","--","586.00","1.11"
"114/10/29","111","1","8917","欣泰","677980.00","518688.00","--","--","159292.00","--","--","159292.00","30803.00","--","128489.00","4911.00","133400.00","26229.00","107171.00","--","--","107171.00","22281.00","--","129452.00","107171.00","--","--","129452.00","--","--","0.72"
"114/10/29","111","1","8921","沈氏","139717.00","124956.00","--","--","14761.00","--","--","14761.00","22871.00","--","-8110.00","22449.00","14339.00","476.00","13863.00","--","--","13863.00","40317.00","--","54180.00","18221.00","--","-4358.00","58538.00","--","-4358.00","0.39"
