出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,使用權資產－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
"114/10/28","111","4","2801","彰銀","51758581.00","149988138.00","31485681.00","214615957.00","485011259.00","0.00","--","22446573.00","44675.00","--","--","1685320445.00","--","--","1768723.00","21030975.00","1954493.00","13845593.00","1121815.00","3390756.00","1068655.00","2684852319.00","52877055.00","0.00","6920062.00","--","941013.00","31965424.00","896855.00","--","2349882620.00","51219465.00","--","--","858883.00","3023164.00","1794804.00","9430267.00","6014489.00","2515824101.00","105934566.00","--","--","67464069.00","-4370417.00","0.00","169028218.00","--","--","--","169028218.00","--","0.00","0.00","15.96"
"114/10/28","111","4","2812","台中銀","25760718.00","40921600.00","29009114.00","45228975.00","104757966.00","--","11643340.00","14434692.00","--","--","--","514112826.00","172301.00","506705.00","271035.00","16256083.00","809276.00","592167.00","234756.00","692053.00","2559221.00","807962828.00","8703740.00","8898102.00","1630985.00","--","0.00","9427839.00","554448.00","--","683104149.00","16500000.00","--","--","6670510.00","1237517.00","852915.00","109486.00","1043511.00","738733202.00","50154465.00","--","1528256.00","17706589.00","-159684.00","0.00","69229626.00","--","--","0.00","69229626.00","0.00","0.00","0.00","13.80"
"114/10/28","111","4","2820","華票","557558.00","0.00","111485370.00","87997187.00","1483482.00","--","3951998.00","632057.00","230666.00","--","--","--","--","--","94408.00","147025.00","32405.00","--","--","478240.00","570079.00","207660475.00","9507214.00","--","222580.00","--","171870770.00","405841.00","0.00","--","--","--","--","--","2012096.00","1395017.00","32620.00","0.00","236337.00","185682475.00","13429600.00","--","11727.00","11214017.00","-2677344.00","--","--","--","--","--","21978000.00","0.00","0.00","0.00","16.37"
"114/10/28","111","4","2834","臺企銀","49260262.00","148557744.00","33913114.00","160000410.00","236774247.00","--","797893.00","9057109.00","350069.00","--","--","1400112365.00","808.00","--","10315.00","14121833.00","1212593.00","--","757216.00","1777199.00","15782948.00","2072486125.00","194966177.00","1131025.00","9925525.00","--","2462991.00","21493131.00","1101015.00","--","1673580263.00","52250000.00","--","--","2910581.00","2676102.00","1239919.00","879056.00","3763082.00","1968378867.00","80296934.00","--","815900.00","26764099.00","-3769675.00","0.00","104107258.00","0.00","--","--","104107258.00","0.00","0.00","0.00","12.97"
"114/10/28","111","4","2836","高雄銀","5079356.00","12329990.00","469208.00","33647618.00","45693890.00","--","2966824.00","1173044.00","0.00","--","--","173734988.00","--","--","229951.00","3059368.00","302232.00","--","111086.00","175238.00","144839.00","279117632.00","11268306.00","0.00","25579.00","--","11734567.00","3973410.00","186942.00","--","229654962.00","5377000.00","--","--","0.00","404014.00","302046.00","--","118083.00","263044909.00","12383477.00","--","1447637.00","4015623.00","-1774014.00","--","--","--","--","--","16072723.00","--","0.00","0.00","12.98"
"114/10/28","111","4","2838","聯邦銀","12598697.00","24624316.00","29047342.00","59513169.00","82519002.00","--","43741945.00","29180983.00","1593.00","--","--","528118601.00","1937259.00","--","1638825.00","12518775.00","1674658.00","4803059.00","2184410.00","732966.00","10164333.00","844999933.00","5817199.00","904865.00","931500.00","--","34298607.00","7256873.00","660557.00","--","707914334.00","5000000.00","1001523.00","375000.00","10508961.00","349779.00","1662565.00","1819261.00","3381987.00","781883011.00","37940460.00","--","8076826.00","15690717.00","-637581.00","--","61070422.00","--","--","2046500.00","63116922.00","--","0.00","0.00","16.10"
"114/10/28","111","4","2845","遠東銀","8237870.00","35591182.00","46652529.00","76739907.00","100836081.00","--","1146775.00","18999211.00","--","--","--","437897093.00","1886047.00","--","4790483.00","4760573.00","954076.00","--","1597670.00","179701.00","270445.00","740539643.00","1475448.00","0.00","8689238.00","--","4598749.00","5346372.00","311114.00","--","607423881.00","20901900.00","--","--","34543411.00","760392.00","965817.00","--","550988.00","685567310.00","40694838.00","--","302926.00","15680441.00","-1705872.00","--","54972333.00","--","--","--","54972333.00","--","0.00","0.00","13.51"
"114/10/28","111","4","2849","安泰銀","4941326.00","14508435.00","17229676.00","40845141.00","43500116.00","--","0.00","3319240.00","--","--","--","220163434.00","--","--","239674.00","729151.00","932514.00","--","240241.00","696432.00","1370421.00","348715801.00","3425817.00","0.00","438040.00","--","2657042.00","1915552.00","148745.00","--","305405086.00","--","--","--","518167.00","318525.00","925012.00","60347.00","178934.00","315991267.00","19576094.00","--","402822.00","14507019.00","-1761401.00","0.00","--","--","--","--","32724534.00","0.00","0.00","0.00","16.72"
"114/10/28","111","4","2897","王道銀行","6414978.00","17785790.00","144850687.00","155223551.00","25665306.00","--","3951999.00","3691557.00","299379.00","--","--","204312972.00","7241771.00","--","785669.00","2405135.00","420124.00","--","1809664.00","1125574.00","1358976.00","577343132.00","23427644.00","--","1008165.00","--","180156757.00","3272901.00","112306.00","--","293164986.00","13600000.00","--","--","5156808.00","1872637.00","432826.00","628178.00","500360.00","523333568.00","30330063.00","--","13652.00","10445863.00","-3050502.00","-16837.00","37722239.00","--","--","16287325.00","54009564.00","--","2522000.00","0.00","12.45"
"114/10/28","111","4","5876","上海商銀","63757313.00","336553517.00","7988907.00","400783774.00","213901918.00","--","0.00","18992356.00","25905.00","--","--","1234305369.00","1937372.00","--","0.00","21906365.00","1871270.00","6895605.00","1925844.00","4396598.00","10112912.00","2325355025.00","50192934.00","0.00","5791587.00","--","781568.00","33071071.00","2052522.00","--","1920666353.00","65244424.00","--","--","3339871.00","2926505.00","1925887.00","10452067.00","3267315.00","2099712104.00","48616031.00","0.00","27405763.00","100682623.00","-6840365.00","-83144.00","169780908.00","0.00","--","55862013.00","225642921.00","--","11397439.00","0.00","35.00"
