出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","1","3564","其陽","1643476.00","974455.00","2617931.00","1030748.00","441215.00","1471963.00","591231.00","--","445936.00","100180.00","8621.00","--","1145968.00","--","--","--","1145968.00","0.00","0.00","0.00","19.38"
"114/10/28","111","1","3567","逸昌","180822.00","589831.00","770653.00","86657.00","66728.00","153385.00","341270.00","--","51518.00","228431.00","-582.00","-3369.00","--","--","--","--","617268.00","--","0.00","173000.00","18.18"
"114/10/28","111","1","3570","大塚","895541.00","107341.00","1002882.00","285508.00","18057.00","303565.00","170970.00","--","68813.00","464631.00","-5704.00","--","698710.00","--","--","607.00","699317.00","--","0.00","0.00","40.87"
"114/10/28","111","1","3577","泓格","752305.00","802100.00","1554405.00","326281.00","70342.00","396623.00","528642.00","--","68630.00","564267.00","-3757.00","--","1157782.00","--","--","--","1157782.00","0.00","0.00","0.00","21.90"
"114/10/28","111","1","3580","友威科","1367820.00","273506.00","1641326.00","514677.00","311000.00","825677.00","394707.00","--","144343.00","285697.00","7459.00","-16557.00","815649.00","--","--","--","815649.00","--","0.00","734000.00","21.06"
"114/10/28","111","1","3581","博磊","1662381.00","295780.00","1958161.00","926107.00","64911.00","991018.00","510060.00","--","81293.00","258819.00","-6014.00","--","844158.00","--","--","122985.00","967143.00","0.00","0.00","0.00","16.55"
"114/10/28","111","1","3587","閎康","2927971.00","2853055.00","5781026.00","1412295.00","1199350.00","2611645.00","623131.00","--","1354314.00","1152465.00","25112.00","0.00","3155022.00","0.00","--","14359.00","3169381.00","0.00","0.00","0.00","50.63"
"114/10/28","111","1","3594","磐儀","2004723.00","1252539.00","3257262.00","821176.00","556791.00","1377967.00","906402.00","--","749453.00","306014.00","-55572.00","-36515.00","1869782.00","--","--","9513.00","1879295.00","0.00","218375.00","1544000.00","20.99"
"114/10/28","111","1","3597","映興","800478.00","333866.00","1134344.00","328168.00","192622.00","520790.00","391462.00","--","83975.00","163068.00","-23547.00","-1404.00","613554.00","--","--","--","613554.00","0.00","0.00","86000.00","15.71"
"114/10/28","111","1","3609","三一東林","719088.00","327808.00","1046896.00","597852.00","7577.00","605429.00","306794.00","--","139176.00","19116.00","-23619.00","--","441467.00","--","--","--","441467.00","0.00","0.00","0.00","14.39"
"114/10/28","111","1","3611","鼎翰","3704943.00","4226089.00","7931032.00","2135936.00","1349343.00","3485279.00","424769.00","--","595490.00","2872894.00","552600.00","--","4445753.00","--","--","--","4445753.00","--","0.00","0.00","104.66"
"114/10/28","111","1","3615","安可","1620268.00","1822845.00","3443113.00","429004.00","558250.00","987254.00","684670.00","--","1481898.00","140788.00","-46011.00","--","2261345.00","--","--","194514.00","2455859.00","0.00","0.00","0.00","33.03"
"114/10/28","111","1","3623","富晶通","467467.00","138133.00","605600.00","133510.00","63955.00","197465.00","291859.00","--","93875.00","22401.00","--","--","--","--","--","--","408135.00","0.00","0.00","0.00","13.98"
"114/10/28","111","1","3624","光頡","2794169.00","1346760.00","4140929.00","834911.00","108854.00","943765.00","1173408.00","--","730121.00","1282077.00","-3073.00","--","3182533.00","--","--","14631.00","3197164.00","0.00","0.00","0.00","27.12"
"114/10/28","111","1","3625","西勝","2570198.00","1732157.00","4302355.00","2384521.00","518476.00","2902997.00","1141314.00","--","567009.00","-315269.00","-53323.00","-48244.00","1291487.00","--","--","107871.00","1399358.00","--","0.00","5584000.00","11.90"
"114/10/28","111","1","3628","盈正","2206733.00","956780.00","3163513.00","1553936.00","138489.00","1692425.00","450000.00","--","711878.00","337330.00","-42825.00","--","1456383.00","--","--","14705.00","1471088.00","0.00","0.00","0.00","32.36"
"114/10/28","111","1","3629","地心引力","273295.00","89735.00","363030.00","76896.00","14473.00","91369.00","337024.00","--","172269.00","-155803.00","-94593.00","--","258897.00","--","--","12764.00","271661.00","0.00","0.00","0.00","7.68"
"114/10/28","111","1","3630","新鉅科","2985319.00","4950792.00","7936111.00","1466180.00","2750857.00","4217037.00","1841919.00","--","2399028.00","-497594.00","-24279.00","--","3719074.00","--","--","--","3719074.00","--","0.00","0.00","20.19"
"114/10/28","111","1","3631","晟楠","1217387.00","1566691.00","2784078.00","58876.00","975384.00","1034260.00","818209.00","--","641674.00","-11325.00","-26625.00","0.00","1421933.00","0.00","--","327885.00","1749818.00","0.00","0.00","0.00","17.38"
"114/10/28","111","1","3632","研勤","142115.00","239438.00","381553.00","121515.00","88801.00","210316.00","408897.00","--","1778.00","-234668.00","-30937.00","--","145070.00","--","--","26167.00","171237.00","--","0.00","0.00","3.55"
"114/10/28","111","1","3646","艾恩特","638863.00","212076.00","850939.00","263250.00","36338.00","299588.00","392974.00","--","15166.00","166511.00","-23300.00","--","551351.00","--","--","--","551351.00","--","0.00","0.00","14.03"
"114/10/28","111","1","3663","鑫科","1258331.00","481214.00","1739545.00","417870.00","119488.00","537358.00","734980.00","--","324681.00","144592.00","-2066.00","--","1202187.00","--","--","--","1202187.00","--","0.00","0.00","16.36"
"114/10/28","111","1","3664","安瑞-KY","567735.00","143954.00","711689.00","210492.00","166496.00","376988.00","511112.00","--","341099.00","-388573.00","-107484.00","-21488.00","334666.00","--","--","35.00","334701.00","--","0.00","1908000.00","6.80"
"114/10/28","111","1","3666","光耀","1474350.00","448544.00","1922894.00","541185.00","24292.00","565477.00","586626.00","--","819475.00","74909.00","-31702.00","-91891.00","1357417.00","--","--","--","1357417.00","--","0.00","2750000.00","24.28"
"114/10/28","111","1","3672","康聯訊","623737.00","193900.00","817637.00","360782.00","59532.00","420314.00","317903.00","--","84272.00","19264.00","-14871.00","-9042.00","397526.00","--","--","-203.00","397323.00","--","0.00","805000.00","12.83"
"114/10/28","111","1","3675","德微","1277851.00","1822910.00","3100761.00","943782.00","798463.00","1742245.00","444283.00","--","402511.00","512276.00","-554.00","0.00","1358516.00","--","--","0.00","1358516.00","0.00","0.00","0.00","30.58"
"114/10/28","111","1","3680","家登","4251647.00","6134629.00","10386276.00","2291813.00","3479401.00","5771214.00","840973.00","--","3094606.00","533330.00","41328.00","-12905.00","4497332.00","--","--","117730.00","4615062.00","--","0.00","379000.00","53.72"
"114/10/28","111","1","3684","榮昌","622621.00","495629.00","1118250.00","315379.00","204201.00","519580.00","245915.00","--","86920.00","268884.00","-3049.00","0.00","598670.00","--","--","--","598670.00","0.00","0.00","0.00","24.34"
"114/10/28","111","1","3685","元創精密","1072956.00","1321936.00","2394892.00","700666.00","330526.00","1031192.00","795740.00","--","102056.00","77397.00","-17870.00","0.00","957323.00","--","--","406377.00","1363700.00","--","0.00","0.00","12.03"
"114/10/28","111","1","3687","歐買尬","7345079.00","240862.00","7585941.00","4079249.00","70434.00","4149683.00","300596.00","--","922622.00","56247.00","2102.00","--","1281567.00","--","--","2154691.00","3436258.00","--","0.00","0.00","42.63"
"114/10/28","111","1","3689","湧德","4324386.00","1820887.00","6145273.00","2948472.00","235343.00","3183815.00","771108.00","--","914954.00","1400286.00","-157907.00","--","2928441.00","--","--","33017.00","2961458.00","--","444363.00","0.00","37.98"
"114/10/28","111","1","3691","碩禾","6069704.00","7167790.00","13237494.00","3381403.00","2500251.00","5881654.00","758834.00","--","3731460.00","1960689.00","57719.00","0.00","6508702.00","--","--","847138.00","7355840.00","--","0.00","0.00","85.77"
"114/10/28","111","1","3693","營邦","2759371.00","836745.00","3596116.00","1780819.00","95957.00","1876776.00","384907.00","--","505035.00","844203.00","-14805.00","--","1719340.00","0.00","--","0.00","1719340.00","0.00","0.00","0.00","44.67"
"114/10/28","111","1","3707","漢磊","6868126.00","4018744.00","10886870.00","2952572.00","1481099.00","4433671.00","3309191.00","--","988881.00","383672.00","-76193.00","--","4605551.00","--","--","1847648.00","6453199.00","0.00","0.00","0.00","13.92"
"114/10/28","111","1","3709","鑫聯大投控","6200459.00","340871.00","6541330.00","4283677.00","95553.00","4379230.00","1005695.00","--","483978.00","683919.00","-15895.00","--","2157697.00","--","--","4403.00","2162100.00","0.00","0.00","0.00","21.45"
"114/10/28","111","1","3710","連展投控","4941426.00","4166638.00","9108064.00","5714894.00","1330750.00","7045644.00","2328751.00","--","479001.00","-666109.00","-356761.00","--","1784882.00","--","--","277538.00","2062420.00","0.00","20839141.00","0.00","7.66"
"114/10/28","111","1","3713","新晶投控","1071623.00","712465.00","1784088.00","633398.00","528134.00","1161532.00","780900.00","--","148437.00","-315383.00","-319.00","--","613635.00","--","--","8921.00","622556.00","0.00","0.00","0.00","7.86"
"114/10/28","111","1","4102","永日","356457.00","579474.00","935931.00","118164.00","233853.00","352017.00","423735.00","--","29919.00","24979.00","41670.00","--","520303.00","--","--","63611.00","583914.00","0.00","0.00","0.00","12.28"
"114/10/28","111","1","4105","東洋","4704339.00","4565199.00","9269538.00","2760480.00","459612.00","3220092.00","2486500.00","--","311876.00","2795056.00","-140730.00","--","5452702.00","--","--","596744.00","6049446.00","--","0.00","0.00","21.93"
"114/10/28","111","1","4107","邦特","1866847.00","2114637.00","3981484.00","894369.00","457840.00","1352209.00","692983.00","--","315168.00","1655889.00","-34765.00","--","2629275.00","--","--","--","2629275.00","--","0.00","0.00","37.94"
"114/10/28","111","1","4109","加捷生醫","327480.00","706539.00","1034019.00","84158.00","5881.00","90039.00","889367.00","--","57010.00","22230.00","-51753.00","--","916854.00","--","--","27126.00","943980.00","0.00","0.00","0.00","10.31"
"114/10/28","111","1","4111","濟生","674829.00","998372.00","1673201.00","436504.00","102961.00","539465.00","569830.00","--","48848.00","532507.00","-17449.00","0.00","1133736.00","--","--","0.00","1133736.00","0.00","0.00","0.00","19.90"
"114/10/28","111","1","4113","聯上","12276894.00","798995.00","13075889.00","8447881.00","1151282.00","9599163.00","2111382.00","--","808138.00","557206.00","0.00","--","--","--","--","--","3476726.00","--","0.00","0.00","16.47"
"114/10/28","111","1","4114","健喬","3239416.00","7169770.00","10409186.00","1849630.00","2517073.00","4366703.00","3136842.00","--","1403082.00","617218.00","-60739.00","-402617.00","4693786.00","--","--","1348697.00","6042483.00","--","550000.00","15857000.00","15.76"
