出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","111","1","1101","台泥","181032587.00","271805684.00","452838271.00","109658131.00","107422385.00","217080516.00","63252340.00","--","56758936.00","75140220.00","20037610.00","-392343.00","214796763.00","--","--","20960992.00","235757755.00","--","0.00","9060600.00","34.01"
"114/10/28","111","1","1102","亞泥","106203789.00","215537698.00","321741487.00","65912135.00","66489698.00","132401833.00","35455721.00","--","5983657.00","117548465.00","5930576.00","--","164918419.00","--","--","24421235.00","189339654.00","--","0.00","0.00","46.51"
"114/10/28","111","1","1103","嘉泥","11387618.00","29432916.00","40820534.00","2858602.00","11458642.00","14317244.00","7747805.00","--","1143892.00","11156463.00","6615592.00","-1077950.00","25585802.00","--","--","917488.00","26503290.00","--","0.00","128805320.00","39.61"
"114/10/28","111","1","1104","環泥","5304079.00","21319623.00","26623702.00","4313548.00","1557502.00","5871050.00","6536092.00","--","66950.00","12420782.00","1237711.00","--","20261535.00","--","--","491117.00","20752652.00","--","0.00","0.00","31.00"
"114/10/28","111","1","1108","幸福","5207737.00","2892391.00","8100128.00","3291723.00","352631.00","3644354.00","4047380.00","--","18.00","413132.00","-4821.00","--","4455709.00","--","--","65.00","4455774.00","--","0.00","0.00","11.01"
"114/10/28","111","1","1109","信大","6582708.00","4982868.00","11565576.00","1297800.00","103628.00","1401428.00","3419579.00","--","23409.00","4677579.00","-67618.00","--","8052949.00","--","--","2111199.00","10164148.00","0.00","0.00","0.00","23.55"
"114/10/28","111","1","1110","東泥","1775189.00","9354204.00","11129393.00","1442134.00","924969.00","2367103.00","5720008.00","--","188373.00","2205749.00","575265.00","-12185.00","8677210.00","--","--","85080.00","8762290.00","--","0.00","2112865.00","15.23"
"114/10/28","111","1","1201","味全","6442338.00","12186826.00","18629164.00","6749443.00","4849697.00","11599140.00","5060629.00","--","36115.00","2075397.00","-150438.00","--","7021703.00","--","--","8321.00","7030024.00","0.00","0.00","0.00","13.88"
"114/10/28","111","1","1203","味王","4720092.00","5085103.00","9805195.00","1730190.00","1483379.00","3213569.00","2400000.00","--","208337.00","2805064.00","106473.00","-38464.00","5481410.00","--","--","1110216.00","6591626.00","0.00","0.00","2293865.00","23.06"
"114/10/28","111","1","1210","大成","28416049.00","30911919.00","59327968.00","29307645.00","2392554.00","31700199.00","8521593.00","--","3294766.00","6227923.00","1821083.00","-219132.00","19646233.00","--","--","7981536.00","27627769.00","--","0.00","46723305.00","24.39"
"114/10/28","111","1","1213","大飲","179120.00","940555.00","1119675.00","197128.00","507615.00","704743.00","566226.00","--","21938.00","-173055.00","-177.00","--","414932.00","--","--","--","414932.00","0.00","0.00","0.00","7.33"
"114/10/28","111","1","1215","卜蜂","7147781.00","16479911.00","23627692.00","8304040.00","6481106.00","14785146.00","2679910.00","--","4662.00","4705138.00","1007676.00","--","8397386.00","--","--","445160.00","8842546.00","0.00","0.00","0.00","31.33"
"114/10/28","111","1","1216","統一","184596620.00","336106187.00","520702807.00","165243860.00","162998042.00","328241902.00","56820154.00","--","2827008.00","71322797.00","-6683451.00","--","124286508.00","--","--","68174397.00","192460905.00","0.00","0.00","0.00","21.87"
"114/10/28","111","1","1217","愛之味","2457140.00","11531782.00","13988922.00","2654597.00","3787899.00","6442496.00","4945134.00","--","268647.00","1062069.00","477686.00","0.00","6753536.00","--","--","792890.00","7546426.00","0.00","0.00","0.00","13.66"
"114/10/28","111","1","1218","泰山","4780791.00","6103792.00","10884583.00","3080379.00","1154497.00","4234876.00","4999990.00","--","1006742.00","941371.00","-99651.00","-203876.00","6644576.00","--","--","5131.00","6649707.00","0.00","0.00","13680042.00","13.66"
"114/10/28","111","1","1219","福壽","4881051.00","4281886.00","9162937.00","2573891.00","1917288.00","4491179.00","3220139.00","--","14358.00","1393073.00","-3223.00","-6735.00","4617612.00","--","--","54146.00","4671758.00","--","0.00","364000.00","14.36"
"114/10/28","111","1","1220","台榮","1815696.00","1353537.00","3169233.00","322845.00","210528.00","533373.00","1770779.00","--","22836.00","600075.00","0.00","0.00","2393690.00","--","--","242170.00","2635860.00","0.00","0.00","0.00","13.52"
"114/10/28","111","1","1225","福懋油","4617991.00","3919954.00","8537945.00","3302532.00","1159958.00","4462490.00","2187030.00","--","122126.00","1440087.00","-97852.00","--","3651391.00","--","--","424064.00","4075455.00","--","0.00","0.00","16.70"
"114/10/28","111","1","1227","佳格","18697833.00","8015752.00","26713585.00","7058196.00","746930.00","7805126.00","9150897.00","--","144066.00","9280530.00","-25917.00","-21182.00","18528394.00","--","--","380065.00","18908459.00","0.00","0.00","6669471.00","20.40"
"114/10/28","111","1","1229","聯華","12103498.00","62620702.00","74724200.00","15599627.00","1885165.00","17484792.00","14096481.00","--","1118330.00","12127225.00","11869625.00","-136868.00","39074793.00","--","--","18164615.00","57239408.00","0.00","0.00","5682000.00","27.83"
