出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,營業費用,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位本期淨利（淨損）,停業單位損益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/28","110","1","2880","華南金","6622038.00","5790834.00","12412872.00","517288.00","410797.00","6789140.00","4695647.00","659615.00","4036032.00","--","4036032.00","-31605.00","4004427.00","4036005.00","--","27.00","4004383.00","--","44.00","0.31"
"114/10/28","110","1","2881","富邦金","34126430.00","113197887.00","147324317.00","774627.00","72595734.00","15134029.00","58819927.00","7483529.00","51336398.00","--","51336398.00","996032.00","52332430.00","50552452.00","--","783946.00","53836880.00","--","-1504450.00","4.94"
"114/10/28","110","1","2882","國泰金","48052130.00","141555723.00","189607853.00","1321767.00","103848073.00","20574483.00","63863530.00","6296930.00","57566600.00","--","57566600.00","-96639472.00","-39072872.00","57366026.00","--","200574.00","-39295714.00","--","222842.00","4.36"
"114/10/28","110","1","2883","凱基金","16813022.00","36394670.00","53207692.00","-56715.00","27532500.00","9235367.00","16496540.00","1680827.00","14815713.00","--","14815713.00","-31793895.00","-16978182.00","9839868.00","--","4975845.00","-6494470.00","--","-10483712.00","0.66"
"114/10/28","110","1","2884","玉山金","6082416.00","7615163.00","13697579.00","-357889.00","--","7817030.00","6238438.00","1031677.00","5206761.00","--","5206761.00","210963.00","5417724.00","5204582.00","--","2179.00","5415541.00","--","2183.00","0.41"
"114/10/28","110","1","2885","元大金","7192264.00","27398463.00","34590727.00","73462.00","7024799.00","13556317.00","13936149.00","3180706.00","10755443.00","--","10755443.00","-2307909.00","8447534.00","9407300.00","--","1348143.00","7615405.00","--","832129.00","0.78"
"114/10/28","110","1","2886","兆豐金","7831500.00","6758071.00","14589571.00","42954.00","-17463.00","7248865.00","7315215.00","1093607.00","6221608.00","--","6221608.00","-2486713.00","3734895.00","6221608.00","--","0.00","3734895.00","--","0.00","0.46"
"114/10/28","110","1","2887","台新新光金","5558866.00","6426101.00","11984967.00","279405.00","--","6493813.00","5211749.00","737853.00","4473896.00","--","4473896.00","-1055368.00","3418528.00","4476740.00","--","-2844.00","3421372.00","--","-2844.00","0.37"
"114/10/28","110","1","2889","國票金","662723.00","2218461.00","2881184.00","-19995.00","--","1019592.00","1881587.00","365820.00","1515767.00","--","1515767.00","-1318743.00","197024.00","1363572.00","--","152195.00","85174.00","--","111850.00","0.47"
"114/10/28","110","1","2890","永豐金","5228767.00","6520449.00","11749216.00","376742.00","--","6138739.00","5233735.00","822732.00","4411003.00","--","4411003.00","-1496348.00","2914655.00","4411003.00","--","0.00","2914655.00","--","0.00","0.39"
"114/10/28","110","1","2891","中信金","26833566.00","20786369.00","47619935.00","931296.00","5718627.00","18415620.00","22554392.00","2844970.00","19709422.00","--","19709422.00","-16466840.00","3242582.00","19708717.00","--","705.00","3245937.00","--","-3355.00","1.01"
"114/10/28","110","1","2892","第一金","8091557.00","7857032.00","15948589.00","872690.00","3064370.00","6007723.00","6003806.00","974387.00","5029419.00","--","5029419.00","-1443249.00","3586170.00","5029419.00","--","--","3586170.00","--","--","0.39"
"114/10/28","110","1","5880","合庫金","8838778.00","4170437.00","13009215.00","1157543.00","83032.00","6166373.00","5602267.00","824735.00","4777532.00","--","4777532.00","-1338342.00","3439190.00","4530686.00","--","246846.00","3307402.00","--","131788.00","0.34"
