出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之衍生金融資產,附賣回票券及債券投資,應收款項－淨額,當期所得稅資產,待出售資產－淨額,,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/28","110","1","2880","華南金","34774343.00","175824407.00","112407604.00","306902702.00","667304967.00","--","1169510.00","57751472.00","433448.00","--","--","1824836375.00","5660537.00","209453.00","--","36895933.00","11983869.00","31743644.00","1944902.00","970599.00","3442380.00","4422772.00","3278678917.00","152542288.00","22718500.00","3867104.00","--","63562273.00","20438799.00","46217576.00","3002510.00","--","2621492942.00","60689586.00","1776040.00","--","23036388.00","53161222.00","1892633.00","6099865.00","4772599.00","3085270325.00","128547788.00","17758986.00","37741785.00","9357986.00","--","--","193406545.00","2047.00","193408592.00","--","0.00","0.00","15.05"
"114/10/28","110","1","2881","富邦金","270358909.00","295450751.00","1549439034.00","860706410.00","2899062876.00","4539498.00","134568176.00","271240212.00","1686166.00","0.00","--","2328844998.00","27444806.00","34806418.00","--","529827623.00","304305276.00","63002070.00","7993449.00","33113555.00","24988157.00","54402118.00","9695780502.00","172911226.00","7765550.00","50479217.00","9269129.00","169877816.00","67123749.00","162529008.00","19218447.00","--","2894055832.00","266181133.00","1342788.00","--","4355551147.00","574798990.00","22233131.00","21768206.00","49593967.00","8844699336.00","115002640.00","137668649.00","418829504.00","145208491.00","-680246.00","--","816029038.00","35052128.00","851081166.00","0.00","0.00","22244000.00","71.09"
"114/10/28","110","1","2882","國泰金","448129821.00","152315784.00","1800120582.00","1571029708.00","3186546185.00","146269.00","50881539.00","204782871.00","4309641.00","--","--","2219536128.00","10647884.00","33444362.00","--","686655474.00","422266940.00","98352016.00","4145216.00","53569485.00","60913785.00","73047890.00","11080841580.00","80305732.00","1076000.00","130825360.00","43129.00","17604400.00","42609669.00","84660437.00","29534698.00","--","2654702795.00","147300000.00","819855.00","--","6220022671.00","719131201.00","14395259.00","46046042.00","26939257.00","10216016505.00","147025102.00","177256371.00","429471544.00","100001617.00","0.00","0.00","853754634.00","11070441.00","864825075.00","--","0.00","0.00","58.07"
"114/10/28","110","1","2883","凱基金","110561010.00","31792157.00","548444225.00","631722572.00","1132929229.00","220795.00","32989548.00","153681256.00","701499.00","--","--","408733410.00","863787.00","16203827.00","--","146380876.00","30285628.00","34853794.00","13942436.00","19307056.00","11935103.00","100569581.00","3426117789.00","23238409.00","91080.00","102724790.00","153036.00","132598134.00","18284269.00","120221498.00","5942981.00","--","479588765.00","71554882.00","21586076.00","--","1929483077.00","163093555.00","4389446.00","8158364.00","50756971.00","3131865333.00","149796639.00","11821316.00","44692538.00","8998834.00","-698576.00","--","214610751.00","79641705.00","294252456.00","--","6061524.00","74874248.00","14.40"
"114/10/28","110","1","2884","玉山金","48361767.00","94566393.00","658376898.00","309830685.00","22938724.00","--","3481813.00","109846139.00","42761.00","--","--","1617493683.00","--","--","--","5623815.00","1800585.00","36070507.00","3122543.00","6166035.00","1920591.00","8638211.00","2928281150.00","76833648.00","10040830.00","62345917.00","--","13178554.00","4923134.00","30263637.00","1719228.00","--","2436244054.00","38670000.00","1032884.00","--","868979.00","56970344.00","3224486.00","1254487.00","3185667.00","2740755849.00","125866000.00","25662214.00","36018856.00","-156137.00","--","--","187390933.00","134368.00","187525301.00","--","0.00","0.00","14.91"
"114/10/28","110","1","2885","元大金","68534771.00","58748475.00","586331286.00","294083044.00","451402582.00","--","47438192.00","270602127.00","556589.00","203730.00","--","798484932.00","1205376.00","2770303.00","2529140.00","94937504.00","11207131.00","24157427.00","12891577.00","31381987.00","6020177.00","73268031.00","2836754381.00","16834749.00","666000.00","175250067.00","--","196361820.00","47118252.00","247745141.00","8761799.00","--","1239578017.00","80290894.00","53795727.00","--","319471569.00","103251103.00","6087775.00","4246179.00","55570787.00","2555029879.00","121374360.00","37885949.00","91334283.00","10357402.00","--","--","260951994.00","20772508.00","281724502.00","0.00","0.00","0.00","21.50"
"114/10/28","110","1","2886","兆豐金","122234311.00","428757180.00","219724725.00","565167177.00","606538548.00","--","2838063.00","97918395.00","387269.00","15813.00","--","1979210709.00","5477153.00","5555770.00","--","5477372.00","1109719.00","21921473.00","1874504.00","963401.00","5471642.00","6055590.00","4076698814.00","481265529.00","21889204.00","21041292.00","--","256524912.00","31867857.00","83566251.00","11638866.00","--","2766417790.00","13100000.00","125000.00","--","30297896.00","12756324.00","1922505.00","2803035.00","11158498.00","3746374959.00","135998240.00","68194233.00","114538073.00","11593309.00","0.00","0.00","330323855.00","0.00","330323855.00","0.00","0.00","0.00","24.29"
"114/10/28","110","1","2887","台新新光金","23468718.00","85958757.00","131987871.00","166566539.00","283224382.00","--","5954635.00","165591522.00","7338.00","--","--","1281203015.00","--","42596133.00","--","8644518.00","941645.00","19165689.00","2711158.00","3305234.00","3236352.00","12146069.00","2236709575.00","56767392.00","2169550.00","33202432.00","--","91330867.00","18131768.00","44364583.00","2839352.00","--","1633772869.00","70100000.00","11657222.00","--","1885657.00","73514947.00","2819254.00","66988.00","4556758.00","2047179639.00","117135128.00","35922691.00","35740639.00","687163.00","--","--","189485621.00","44315.00","189529936.00","--","307000.00","0.00","16.18"
"114/10/28","110","1","2889","國票金","2310677.00","6.00","148538784.00","116293641.00","--","--","107084.00","35915868.00","26.00","--","--","--","--","6645469.00","--","9470790.00","0.00","7470905.00","129288.00","237966.00","97748.00","2577992.00","329796244.00","--","22147127.00","2137562.00","--","210208088.00","21738220.00","19711808.00","931711.00","--","--","--","--","--","1720775.00","5147448.00","129752.00","275856.00","2709233.00","286857580.00","28964817.00","156037.00","6905076.00","2404304.00","-106346.00","--","38323888.00","4614776.00","42938664.00","0.00","0.00","10000000.00","13.28"
"114/10/28","110","1","2890","永豐金","24585392.00","151975304.00","80902724.00","363301606.00","152426235.00","--","69478794.00","95247863.00","406537.00","--","--","1192192529.00","--","615238.00","--","41455417.00","2446741.00","13105099.00","3574990.00","2228447.00","2152304.00","17567671.00","2213662891.00","89402568.00","118350.00","21774621.00","--","39251226.00","37073914.00","54339281.00","2020628.00","--","1689229975.00","52508091.00","14094337.00","18437.00","3777832.00","38438109.00","2971982.00","1488799.00","8370354.00","2054878504.00","112710541.00","2228764.00","41487240.00","2357842.00","--","--","158784387.00","0.00","158784387.00","--","0.00","0.00","14.09"
