出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","113","4","1240","茂生農經","2856900.00","2531754.00","22084.00","51037.00","398267.00","--","--","398267.00","244640.00","--","153627.00","51959.00","205586.00","39123.00","166463.00","--","--","166463.00","-687.00","--","165776.00","179603.00","--","-13140.00","178916.00","--","-13140.00","4.34"
"114/10/29","113","4","1259","安心","6045581.00","4683358.00","--","--","1362223.00","--","--","1362223.00","1350633.00","--","11590.00","52822.00","64412.00","7952.00","56460.00","--","--","56460.00","118194.00","--","174654.00","66329.00","--","-9869.00","184017.00","--","-9363.00","2.05"
"114/10/29","113","4","1264","德麥","6806342.00","4603477.00","--","--","2202865.00","--","--","2202865.00","1072373.00","--","1130492.00","34239.00","1164731.00","273310.00","891421.00","--","--","891421.00","88982.00","--","980403.00","761405.00","--","130016.00","820691.00","--","159712.00","20.55"
"114/10/29","113","4","1268","漢來美食","5929814.00","3215909.00","--","--","2713905.00","--","--","2713905.00","2181393.00","--","532512.00","-6317.00","526195.00","101340.00","424855.00","--","--","424855.00","-14202.00","--","410653.00","424855.00","--","--","410653.00","--","--","10.06"
"114/10/29","113","4","1294","漢田生技","748423.00","442680.00","--","--","305743.00","--","--","305743.00","108275.00","--","197468.00","-2827.00","194641.00","39222.00","155419.00","--","--","155419.00","--","--","155419.00","155674.00","--","-255.00","155674.00","--","-255.00","6.02"
"114/10/29","113","4","1295","生合","989483.00","448639.00","--","--","540844.00","--","--","540844.00","331448.00","--","209396.00","27197.00","236593.00","66468.00","170125.00","--","--","170125.00","12441.00","--","182566.00","170125.00","--","--","182566.00","--","--","5.43"
"114/10/29","113","4","1336","台翰","2563443.00","2116031.00","--","--","447412.00","--","--","447412.00","231797.00","--","215615.00","33269.00","248884.00","85952.00","162932.00","--","--","162932.00","55630.00","--","218562.00","162932.00","--","--","218562.00","--","--","2.10"
"114/10/29","113","4","1565","精華","4550058.00","3335784.00","--","--","1214274.00","--","0.00","1214274.00","413142.00","--","801132.00","141765.00","942897.00","195595.00","747302.00","--","--","747302.00","27454.00","--","774756.00","747302.00","--","--","774756.00","--","--","14.82"
"114/10/29","113","4","1569","濱川","3103113.00","3012602.00","--","--","90511.00","--","--","90511.00","526796.00","--","-436285.00","152145.00","-284140.00","11566.00","-295706.00","--","--","-295706.00","170877.00","--","-124829.00","-311553.00","--","15847.00","-148117.00","--","23288.00","-2.57"
"114/10/29","113","4","1570","力肯","730104.00","528786.00","--","--","201318.00","--","--","201318.00","85542.00","--","115776.00","23431.00","139207.00","23576.00","115631.00","--","--","115631.00","60747.00","--","176378.00","115631.00","--","--","176378.00","--","--","2.25"
"114/10/29","113","4","1580","新麥","4792059.00","2710054.00","--","--","2082005.00","--","--","2082005.00","1108945.00","--","973060.00","117029.00","1090089.00","361726.00","728363.00","--","--","728363.00","89396.00","--","817759.00","682665.00","--","45698.00","767074.00","--","50685.00","13.59"
"114/10/29","113","4","1584","精剛","2880076.00","2357993.00","--","--","522083.00","--","--","522083.00","262975.00","--","259108.00","100092.00","359200.00","51610.00","307590.00","--","--","307590.00","1020.00","--","308610.00","309039.00","--","-1449.00","310059.00","--","-1449.00","1.57"
"114/10/29","113","4","1586","和勤","2572580.00","2170804.00","--","--","401776.00","--","--","401776.00","369030.00","--","32746.00","8421.00","41167.00","5885.00","35282.00","--","--","35282.00","51308.00","--","86590.00","35282.00","--","--","86590.00","--","--","0.43"
"114/10/29","113","4","1591","駿吉-KY","214675.00","198263.00","--","--","16412.00","--","--","16412.00","61301.00","--","-44889.00","-722.00","-45611.00","-1312.00","-44299.00","--","--","-44299.00","37762.00","--","-6537.00","-44299.00","--","--","-6537.00","--","--","-1.25"
"114/10/29","113","4","1593","祺驊","1119216.00","762247.00","--","--","356969.00","--","--","356969.00","261896.00","--","95073.00","37835.00","132908.00","37215.00","95693.00","--","--","95693.00","16572.00","--","112265.00","67629.00","--","28064.00","84201.00","--","28064.00","1.70"
"114/10/29","113","4","1595","川寶","915514.00","665757.00","--","--","249757.00","--","--","249757.00","313543.00","--","-63786.00","77070.00","13284.00","18464.00","-5180.00","--","--","-5180.00","6199.00","--","1019.00","-2670.00","--","-2510.00","3529.00","--","-2510.00","-0.06"
"114/10/29","113","4","1599","宏佳騰","2289648.00","1773466.00","--","--","516182.00","--","--","516182.00","538519.00","--","-22337.00","127684.00","105347.00","22311.00","83036.00","--","--","83036.00","5725.00","--","88761.00","88096.00","--","-5060.00","93821.00","--","-5060.00","1.21"
"114/10/29","113","4","1742","台蠟","231191.00","173959.00","--","--","57232.00","--","--","57232.00","145065.00","--","-87833.00","171377.00","83544.00","829.00","82715.00","--","--","82715.00","1100.00","--","83815.00","82715.00","--","0.00","83815.00","--","0.00","0.89"
"114/10/29","113","4","1777","生泰","1257665.00","770724.00","--","--","486941.00","--","--","486941.00","136137.00","--","350804.00","137434.00","488238.00","94954.00","393284.00","--","--","393284.00","4999.00","--","398283.00","--","--","--","--","--","--","8.82"
