出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","113","1","1240","茂生農經","714830.00","626151.00","2407.00","9048.00","100134.00","--","--","100134.00","61971.00","--","38163.00","4797.00","42960.00","9502.00","33458.00","--","--","33458.00","9771.00","--","43229.00","38740.00","--","-5282.00","48511.00","--","-5282.00","0.98"
"114/10/29","113","1","1259","安心","1487296.00","1146648.00","--","--","340648.00","--","--","340648.00","323599.00","--","17049.00","19910.00","36959.00","4864.00","32095.00","--","--","32095.00","175119.00","--","207214.00","32753.00","--","-658.00","207616.00","--","-402.00","1.01"
"114/10/29","113","1","1264","德麥","1557820.00","1053060.00","--","--","504760.00","--","--","504760.00","237779.00","--","266981.00","8064.00","275045.00","61632.00","213413.00","--","--","213413.00","38883.00","--","252296.00","188143.00","--","25270.00","213049.00","--","39247.00","5.08"
"114/10/29","113","1","1268","漢來美食","1679417.00","875672.00","--","--","803745.00","--","--","803745.00","555732.00","--","248013.00","791.00","248804.00","49045.00","199759.00","--","--","199759.00","8312.00","--","208071.00","199759.00","--","--","208071.00","--","--","4.73"
"114/10/29","113","1","1294","漢田生技","179882.00","108159.00","--","--","71723.00","--","--","71723.00","26352.00","--","45371.00","-900.00","44471.00","8906.00","35565.00","--","--","35565.00","--","--","35565.00","35625.00","--","-60.00","35625.00","--","-60.00","1.84"
"114/10/29","113","1","1336","台翰","547359.00","450670.00","--","--","96689.00","--","--","96689.00","57353.00","--","39336.00","14296.00","53632.00","20040.00","33592.00","--","--","33592.00","67079.00","--","100671.00","33592.00","--","--","100671.00","--","--","0.43"
"114/10/29","113","1","1565","精華","1099745.00","835620.00","--","--","264125.00","--","0.00","264125.00","99042.00","--","165083.00","72406.00","237489.00","47528.00","189961.00","--","--","189961.00","440.00","--","190401.00","189961.00","--","--","190401.00","--","--","3.77"
"114/10/29","113","1","1569","濱川","620559.00","574960.00","--","--","45599.00","--","--","45599.00","126026.00","--","-80427.00","101810.00","21383.00","10459.00","10924.00","--","--","10924.00","109224.00","--","120148.00","2477.00","--","8447.00","110794.00","--","9354.00","0.02"
"114/10/29","113","1","1570","力肯","96174.00","75628.00","--","--","20546.00","--","--","20546.00","20336.00","--","210.00","9025.00","9235.00","1825.00","7410.00","--","--","7410.00","28260.00","--","35670.00","7410.00","--","0.00","35670.00","--","0.00","0.14"
"114/10/29","113","1","1580","新麥","942562.00","528504.00","--","--","414058.00","--","--","414058.00","212355.00","--","201703.00","11992.00","213695.00","66950.00","146745.00","--","--","146745.00","37028.00","--","183773.00","137255.00","--","9490.00","172210.00","--","11563.00","2.73"
