出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","113","4","2801","彰銀","22964580.00","18854957.00","3050867.00","20415083.00","18353587.00","3408216.00","14945371.00","--","--","14945371.00","4425998.00","--","19371369.00","14945371.00","--","--","19371369.00","--","--","1.33"
"114/10/29","113","4","2812","台中銀","12250662.00","7048557.00","1100726.00","8295785.00","9902708.00","1610845.00","8291863.00","--","--","8291863.00","-625025.00","--","7666838.00","8291863.00","--","--","7666838.00","--","--","1.50"
"114/10/29","113","4","2820","華票","364760.00","1873770.00","27899.00","557323.00","1653308.00","278973.00","1374335.00","--","--","1374335.00","-106747.00","--","1267588.00","--","--","--","--","--","--","1.02"
"114/10/29","113","4","2834","臺企銀","19115770.00","14998817.00","3441648.00","16610275.00","14062664.00","2825963.00","11236701.00","0.00","--","11236701.00","1719048.00","--","12955749.00","11236701.00","0.00","0.00","12955749.00","--","--","1.23"
"114/10/29","113","4","2836","高雄銀","2928312.00","1456284.00","65713.00","3004376.00","1314507.00","353122.00","961385.00","--","--","961385.00","687046.00","--","1648431.00","--","--","--","--","--","--","0.55"
"114/10/29","113","4","2838","聯邦銀","8277819.00","11549050.00","1107084.00","12552681.00","6167104.00","944591.00","5222513.00","--","--","5222513.00","4744732.00","--","9967245.00","5215277.00","--","7236.00","9960003.00","--","7242.00","1.16"
"114/10/29","113","4","2845","遠東銀","5921043.00","6936670.00","139568.00","7848217.00","4869928.00","572738.00","4297190.00","--","--","4297190.00","136946.00","--","4434136.00","4297190.00","--","--","4434136.00","--","--","1.01"
"114/10/29","113","4","2849","安泰銀","3145629.00","2398070.00","814463.00","3355708.00","1373528.00","47714.00","1325814.00","0.00","--","1325814.00","142402.00","--","1468216.00","--","--","--","--","--","--","0.68"
"114/10/29","113","4","2897","王道銀行","1827343.00","8351370.00","53227.00","5108882.00","5016604.00","1123745.00","3892859.00","--","--","3892859.00","295969.00","--","4188828.00","2856199.00","--","1036660.00","3187590.00","--","1001238.00","1.00"
"114/10/29","113","4","5876","上海商銀","38705852.00","12698123.00","15177363.00","19298954.00","16927658.00","2488350.00","14439308.00","--","--","14439308.00","17444692.00","--","31884000.00","13478483.00","--","960825.00","23205023.00","--","8678977.00","2.78"
