出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","4","2801","彰銀","22849707.00","9228646.00","2136395.00","16421666.00","13520292.00","1948510.00","11571782.00","--","--","11571782.00","369075.00","--","11940857.00","11571782.00","--","--","11940857.00","--","--","1.16"
"114/10/29","108","4","2812","台中銀","8350530.00","3745098.00","615474.00","6273169.00","5206985.00","887102.00","4319883.00","0.00","--","4319883.00","152812.00","--","4472695.00","4319883.00","--","--","4472695.00","--","--","1.16"
"114/10/29","108","4","2820","華票","855974.00","1158794.00","4476.00","456814.00","1553478.00","308825.00","1244653.00","--","--","1244653.00","370059.00","--","1614712.00","--","--","--","--","--","--","0.93"
"114/10/29","108","4","2834","臺企銀","17031113.00","6178829.00","2417677.00","12726585.00","8065680.00","1331427.00","6734253.00","0.00","--","6734253.00","847658.00","--","7581911.00","6734253.00","0.00","0.00","7581911.00","0.00","0.00","0.98"
"114/10/29","108","4","2836","高雄銀","2763976.00","955464.00","414052.00","2418820.00","886568.00","112112.00","774456.00","--","--","774456.00","324570.00","--","1099026.00","--","--","--","--","--","--","0.72"
"114/10/29","108","4","2838","聯邦銀","6477462.00","7388720.00","240675.00","9598051.00","4027456.00","655978.00","3371478.00","--","--","3371478.00","3500069.00","--","6871547.00","3359457.00","--","12021.00","6859589.00","--","11958.00","1.00"
"114/10/29","108","4","2845","遠東銀","5457812.00","6263868.00","511748.00","6953055.00","4256877.00","624282.00","3632595.00","--","--","3632595.00","395350.00","--","4027945.00","3632595.00","--","--","4027945.00","--","--","1.08"
"114/10/29","108","4","2849","安泰銀","3661065.00","2752067.00","1055126.00","2900048.00","2457958.00","376154.00","2081804.00","0.00","--","2081804.00","120942.00","--","2202746.00","--","--","--","--","--","--","1.13"
"114/10/29","108","4","2897","王道銀行","3884872.00","4427079.00","1002491.00","4597225.00","2712235.00","681601.00","2030634.00","-4033.00","--","2026601.00","438919.00","--","2465520.00","1100433.00","--","926168.00","1280355.00","--","1185165.00","0.45"
"114/10/29","108","4","5876","上海商銀","29945769.00","11005503.00","907741.00","15412708.00","24630823.00","4906344.00","19724479.00","--","--","19724479.00","2047686.00","--","21772165.00","14661111.00","--","5063368.00","16298352.00","--","5473813.00","3.50"
