出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","1","2801","彰銀","5730989.00","2321758.00","374012.00","3901942.00","3776793.00","640512.00","3136281.00","--","--","3136281.00","1104481.00","--","4240762.00","3136281.00","--","--","4240762.00","--","--","0.32"
"114/10/29","108","1","2812","台中銀","2083246.00","995722.00","151599.00","1715707.00","1211662.00","194876.00","1016786.00","--","--","1016786.00","350916.00","--","1367702.00","1016786.00","--","--","1367702.00","--","--","0.29"
"114/10/29","108","1","2820","華票","212733.00","288531.00","-1184.00","114258.00","388190.00","74496.00","313694.00","--","--","313694.00","205848.00","0.00","519542.00","--","--","--","--","--","--","0.23"
"114/10/29","108","1","2834","臺企銀","4144820.00","1955354.00","419720.00","3131451.00","2549003.00","392718.00","2156285.00","0.00","--","2156285.00","825999.00","--","2982284.00","2156285.00","0.00","0.00","2982284.00","0.00","0.00","0.34"
"114/10/29","108","1","2836","高雄銀","685609.00","255829.00","157878.00","593395.00","190165.00","14081.00","176084.00","--","--","176084.00","246459.00","--","422543.00","--","--","--","--","--","--","0.17"
"114/10/29","108","1","2838","聯邦銀","1599649.00","1837356.00","213305.00","2346959.00","876741.00","159055.00","717686.00","0.00","--","717686.00","1476603.00","--","2194289.00","708024.00","--","9662.00","2184666.00","--","9623.00","0.26"
"114/10/29","108","1","2845","遠東銀","1350955.00","1785492.00","45136.00","1713241.00","1378070.00","219809.00","1158261.00","0.00","--","1158261.00","367597.00","--","1525858.00","1158261.00","--","--","1525858.00","--","--","0.35"
"114/10/29","108","1","2849","安泰銀","915697.00","674827.00","187515.00","733882.00","669127.00","108804.00","560323.00","0.00","--","560323.00","124952.00","--","685275.00","--","--","--","--","--","--","0.31"
"114/10/29","108","1","2897","王道銀行","985882.00","1240334.00","105392.00","1179217.00","941607.00","231482.00","710125.00","-3945.00","--","706180.00","606372.00","--","1312552.00","472292.00","--","233888.00","928454.00","--","384098.00","0.20"
"114/10/29","108","1","5876","上海商銀","6888994.00","2694674.00","209117.00","3609951.00","5764600.00","1059297.00","4705303.00","--","--","4705303.00","3791116.00","--","8496419.00","3585872.00","--","1119431.00","6221973.00","--","2274446.00","0.88"
