出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/10/29","108","3","2801","彰銀","17388698.00","7024540.00","1704933.00","12158600.00","10549705.00","1567285.00","8982420.00","--","--","8982420.00","633748.00","--","9616168.00","8982420.00","--","--","9616168.00","--","--","0.90"
"114/10/29","108","3","2812","台中銀","6250104.00","2851106.00","527458.00","4835812.00","3737940.00","599627.00","3138313.00","0.00","--","3138313.00","313072.00","--","3451385.00","3138313.00","--","--","3451385.00","--","--","0.85"
"114/10/29","108","3","2820","華票","633597.00","889164.00","-3761.00","345328.00","1181194.00","231812.00","949382.00","0.00","0.00","949382.00","382188.00","--","1331570.00","--","--","--","--","--","--","0.71"
"114/10/29","108","3","2834","臺企銀","12787088.00","5152689.00","1927996.00","9495641.00","6516140.00","1106245.00","5409895.00","0.00","--","5409895.00","919275.00","--","6329170.00","5409895.00","0.00","0.00","6329170.00","0.00","0.00","0.80"
"114/10/29","108","3","2836","高雄銀","2073794.00","724310.00","354061.00","1803270.00","640773.00","69181.00","571592.00","--","--","571592.00","393555.00","--","965147.00","--","--","--","--","--","--","0.53"
"114/10/29","108","3","2838","聯邦銀","4785538.00","5582205.00","318812.00","7097944.00","2950987.00","467601.00","2483386.00","0.00","--","2483386.00","3120767.00","--","5604153.00","2471300.00","--","12086.00","5592130.00","--","12023.00","0.69"
"114/10/29","108","3","2845","遠東銀","4086542.00","4809336.00","209719.00","5137843.00","3548316.00","528076.00","3020240.00","--","--","3020240.00","461644.00","--","3481884.00","3020240.00","--","--","3481884.00","--","--","0.90"
"114/10/29","108","3","2849","安泰銀","2760636.00","2012128.00","666726.00","2190113.00","1915925.00","291227.00","1624698.00","0.00","--","1624698.00","138148.00","--","1762846.00","--","--","--","--","--","--","0.89"
"114/10/29","108","3","2897","王道銀行","2940290.00","3476143.00","556079.00","3480737.00","2379617.00","617819.00","1761798.00","-3947.00","--","1757851.00","668671.00","--","2426522.00","1049676.00","--","708175.00","1436375.00","--","990147.00","0.43"
"114/10/29","108","3","5876","上海商銀","22266913.00","9262745.00","852705.00","11705466.00","18971487.00","3702310.00","15269177.00","--","--","15269177.00","4686514.00","--","19955691.00","11309560.00","--","3959617.00","14693768.00","--","5261923.00","2.76"
